post_id,text,annotator_labels,surface_cue,token_length
18790322_gab,i live and work with many legal mexican immigrants who are great citizens and trump supporters they have no problem with deporting illegals maga,"[2, 1, 1]",None,24
1113705567782969344_twitter,<user> <user> there shd be a film called no hindus in kashmir wud be perfect islamic fanaticsm movement in kashmir,"[1, 2, 1]",None,20
24555628_gab,jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people are on their own and jews and muslims have another home we don ffs we do not why can not people understand that it not that difficult,"[2, 1, 1]",None,41
16323644_gab,got a couple more companies you can boycott this christmas season first one is ford they have got several <number> ads out featuring blip length shots of white men w other than white women this is becoming the norm too you defile the white man that will drive our women into their hands wn,"[1, 1, 0]",None,54
10672407_gab,people are going to blame the white nationalists for what happened but they were initially peaceful before antifa showed up what happened yesterday is the result of political correctness and the left legitimising political violence that why the establishment leftists do not condemn antifa <number> <number>,"[2, 1, 1]",None,46
16953323_gab,you are completely correct without it communication breaks down leading to distortions misrepresentations this is a very serious problem among white males who failed to learn the language effectively,"[1, 1, 2]",None,29
1225661082083024897_twitter,caucasians wearing masks to prevent coronavirus and still don ’ t wash their hands,"[1, 2, 1]",None,14
1179015546890784768_twitter,<user> besudes guilt saviour complex among whites has reached such an alarming level that they want to save indian girls from being raped when the rate of sexual assault in their own countries is significantly higher,"[1, 0, 1]",None,36
1126676847171907585_twitter,why don ’ t white boys with curly hair comb it looks like a bird ’ nest,"[2, 1, 1]",None,17
1165804439632011264_twitter,<user> i think immigrants should replace people like you,"[1, 1, 2]",None,9
1211444261935288320_twitter,im literally not a zionist but dear lord how hard is it to just recognize that people just genuinely despise jews,"[1, 2, 1]",None,21
1079140690200854528_twitter,<user> humor negro 😂 😂 😂 😂 😂,"[1, 2, 1]",None,8
1254517888599429125_twitter,i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant,"[2, 1, 1]",None,22
23765647_gab,meanwhile little girls are sold in refugee camps where imported men then claim to be their fathers they are only raped and subjected to fgm and slavery but dare <user> find a moral obligation to call that out and strike against it why do not those children matter enough,"[1, 1, 2]",None,49
1162556202821115904_twitter,<user> tell us first who are these white supremacists how do we know that you are not one of them,"[2, 1, 1]",None,20
19966687_gab,omfg they are still repeating the fake news that the killer was a white supremacist 🤣 <user> ‍ he hurled slurs at blacks and muslims and according to the anti defamation league had ties to white supremacists,"[2, 1, 1]",None,37
14528971_gab,feminism has not set women free it has robbed them of their dignity their femininity gabfam gab,"[1, 2, 1]",None,17
1165451497330630656_twitter,two bros chillin in a hot tub five feet apart cus they are not gay,"[1, 1, 2]",None,15
11675063_gab,especially since he claims he is a gay man,"[1, 2, 1]",None,9
1176161132488339456_twitter,<user> that ’ pretty gay bro,"[1, 2, 1]",None,6
1179069022752645120_twitter,<user> <user> all white men do is lie and colonize nothing else,"[1, 0, 1]",None,12
1088873336657059841_twitter,<user> yeah there all nazis,"[1, 1, 2]",None,5
25401380_gab,it used to be associating with jews meant you had a good accountant or doctor and an extra dinner party to mark on the calendar now it means fbi raids bdsm perversion soiled potted plants and deep state coup attempts how the chosen have fallen,"[1, 2, 1]",None,45
1178863310164447234_twitter,<user> they robbed them while serving looks too and they robbed the brooklyn museum tbh more shows should be about queer people stealing from white cishet institutions,"[1, 2, 1]",None,27
1142248599209816065_twitter,wait other single people exist you mean not every gay person is taken 😱,"[2, 1, 1]",None,14
1266414967085031432_twitter,<user> soo like is she a nazi,"[2, 1, 1]",None,7
24795919_gab,theresa may treason has no limit as she appoints sajid javid home sec in charge of uk security police immigration a moslem of pakistani origin civil war seems to be the only route,"[1, 1, 0]",None,33
9116132_gab,fakenews is following hillary example blame everyone else for causing the violence even though they say kill and fight in their articles bye bye fake guys,"[2, 1, 1]",None,26
27792370_gab,i bet overtly was invented by jews 🖕 😡 🖕,"[1, 1, 2]",None,10
14685837_gab,interesting stuff i will not lie with all the current talk of some blacks wanting to re segregate it hard to argue against most people think a militia enforced instant segregation when they hear the term white nationalism and that enforcement with violence is what scares them,"[2, 1, 1]",None,47
18360243_gab,why are only white nations being invaded buy non white immigrants,"[2, 1, 1]",None,11
11574607_gab,in the <number> <number> zipper head and slope were pretty fashionable i do believe they covered the gambit of asians,"[1, 2, 1]",None,20
16299654_gab,have been suspended four times by twitter always when content said something re moslems but truth also seeing that second largest shareholder is a moslem prince alwaleed bin talal bin abdulaziz alsaud not surprising so have drifted into gab ai for a better time and no moslem appeasement hope,"[0, 1, 1]",None,49
9025380_gab,black violence is wildly out of proportion,"[1, 1, 2]",None,7
17913782_gab,hes a mohammaden just the same as every muslim in the world obeying the qur an,"[1, 2, 1]",None,16
1113640929330585600_twitter,maybe ban the nazis before u wanna worry about me tweeting something for the thousandth time,"[1, 0, 1]",None,16
10933352_gab,where are the condemnations of violence against <number> kissimmee fl cops last night that left <number> dead hello media rinos democrats bluelivesmatter,"[2, 1, 1]",None,22
13532780_gab,i call women love who i do not know all the time as you may have noted nothing sexual or demeaning meant just being friendly it is not a chat up line,"[2, 1, 1]",None,32
9841810_gab,jews couch their distrust of whites as if it were a logical response to random violence that we routinely heap upon them because of our barbaric gentile ways the truth though is that they want us gone because we are the only ones who routinely oppose their nefarious schemes for domination,"[2, 1, 1]",None,51
1179079220514832384_twitter,this weather for jadakiss dykes,"[0, 1, 1]",None,5
1192858488948453377_twitter,<user> what are you a nazi,"[2, 1, 1]",None,6
27605417_gab,miss america shall embrace beer for beer makes fat women look beautiful,"[1, 1, 2]",None,12
2477995_gab,so let me get this straight google youtube facebook and msm are targeting free speech in the name of fakenews to protect a sleezy pizza place but they are okay shutting down a bakery who chooses not to make a cake for a gay wedding i smell guilt,"[2, 1, 1]",None,48
1116784484005941249_twitter,why don ’ t we make a separate country for illegal aliens and call it mexico,"[0, 1, 1]",None,16
1266873689741701121_twitter,<user> they found the violent nazis organizing the riots,"[1, 1, 2]",None,9
1178309831289184256_twitter,still thinking bout how camila was on x factor calling 5 h her sisters but in facebook making fun of the other girls with her friend calling them niggers i will dsl her clown nose 🤡,"[1, 1, 0]",None,36
17490824_gab,if there are legal immigrants who can enter the country properly and wait to get citizenship what the excuse of those who come here illegally answer there is none america wants legal immigrants who will help the country thrive not a bunch of freeloaders looking for handouts,"[2, 1, 1]",None,47
1142371416823742464_twitter,red velvet got called black old and homophobic all by their own fandom i can ’ t 😭,"[1, 1, 2]",None,18
1145938479450337280_twitter,this movie is ghetto,"[1, 1, 2]",None,4
4299781_gab,lmao wow they really do not allow you to go around calling people kike on twitter anymore lmfao banned again,"[1, 1, 0]",None,20
1179102626207686657_twitter,<user> <user> <user> it was way better than sonoma if you remember your redneck jesus won the glenn also,"[2, 1, 1]",None,19
