post_id,text,annotator_labels,surface_cue,token_length
1146139541805228032_twitter,<user> yes they put fear in black people jews and even white civil rights workers and they deny the holocaust ever happened,"[1, 2, 1]",Weak (Emotion only),22
12122551_gab,worst case he looking at a path to citizenship for the ones who are not violent felons and who meet the criteria that would entitle a legal immigrant to be here under a merit based system <number> <number>,"[1, 2, 1]",Weak (Emotion only),38
1193293522142547968_twitter,<user> i hate you,"[1, 1, 0]",Weak (Emotion only),4
5516681_gab,i have reasons to dislike them and some reasons to like them i take the good with the bad if you have a specific answer i can answer it but i d like to remain in the holocaust subject if you do not mind,"[1, 2, 1]",Weak (Emotion only),44
1279173733681332226_twitter,you can be ghetto and not be ratchet i ’ m ghetto for sure but fighting all the time is ugly,"[1, 2, 1]",Weak (Emotion only),21
13817441_gab,you are a truly pitiful excuse for a homo sapiens pitiable pathetic i pity your kids if you have any growing up with a role model like you sad tragic,"[1, 1, 2]",Weak (Emotion only),30
1178902367590342657_twitter,<user> <user> the police union and this rag head woman has the nerve to get angry with him for calling out that racist cop,"[1, 1, 0]",Weak (Emotion only),24
7144350_gab,this is bad news for the children of millennial women if only <number> of millennial women want to be housewives that means that potentially <number> of their children will not get enough time and interaction with their mothers which is unhealthy i just wonder is <number> the floor <number> <number>,"[1, 1, 2]",Weak (Emotion only),50
1094429897156485120_twitter,<user> to late evil comes only in trojan horse as islam,"[0, 1, 1]",Weak (Emotion only),11
1265503142151585792_twitter,<user> it ’ d be an awful shame if nazis showed up and made things worse 🤔,"[2, 1, 1]",Weak (Emotion only),17
1179090333839298560_twitter,<user> lol new york is a joke now 😂 😂 😂 yeah illegal aliens from all around the world should go back to their countries what is wrong with that,"[0, 1, 1]",Weak (Emotion only),30
19613678_gab,russia and iran defeated isis what wrong with putin he helped liberated syria why do you think our greatest ally israel and the jews on the news media are demonizing iran syria and russia find any coincidences there,"[1, 2, 1]",Weak (Emotion only),38
15524540_gab,liberal logic illegal alien kills kate steinle conservatives upset over acquittal ergo conservatives hate immigrants conservative logic illegal alien kills kate steinle knows there is a difference between legal illegal immigrants ergo liberals are shameless liars,"[2, 1, 1]",Weak (Emotion only),36
11210312_gab,today two terrorist attacks with machete in buckinham palace and bruselles but in america the free media doesn ´ t say a thing but trump nazi hate speech white supremacist and even call the terrorism just a copycat of charlottesville violence that ´ why we need new medias and free speech,"[1, 1, 2]",Weak (Emotion only),51
1178297577172848640_twitter,kanye just be minding his own business an you all niggers go out of you all way to slander an hate,"[2, 1, 1]",Weak (Emotion only),21
1181955978708824074_twitter,why does using google maps to walk 5 mins have to be the worst most ghetto experience ever,"[2, 1, 1]",Weak (Emotion only),18
1178354358385287170_twitter,<user> <user> <user> <user> <user> <user> <user> he is that guy that can not take a loss even though his team is trash instead he wants to fight irl like trailer trash you mad bro 😂,"[1, 2, 1]",Weak (Emotion only),36
1089320840620134400_twitter,<user> i hate you,"[0, 1, 1]",Weak (Emotion only),4
3885608_gab,<user> devildog put both on to a spectrum the number of radical muslims that support carrying out jihad is big the number of radical jews that support and employ the talmud is small in comparison yet their leverage in media financing academia and politics is revealing bad influence on both,"[2, 1, 1]",Weak (Emotion only),50
1178820309694189568_twitter,<user> <user> <user> <user> <user> go back to your tv trailer trash and listen to cnn some more any acts of violence is disgusting left or right,"[1, 2, 1]",Weak (Emotion only),27
1269605209212420097_twitter,<user> <user> this negro did not nothing wrong to you for you to burn him like that,"[2, 1, 1]",Weak (Emotion only),17
12770766_gab,its not a recent muslim invasion it happened to christians in libya egypt syria and sects in ukraine there are bad jews that bring bad to themselves,"[1, 2, 1]",Weak (Emotion only),27
1178302694169235456_twitter,ya niggas made amiri look dirty ya make everything dirty i hate you dirty mother fuckers ya make luxury items look dirty stick to white tees,"[1, 0, 1]",Weak (Emotion only),26
1178889043456790528_twitter,<number> year old white het boys are the worst breed all they do is recycle their same old holocaust racist sexist and homophobic jokes to hide their insecurities i got news for you buddy it not working,"[1, 1, 0]",Weak (Emotion only),37
4322382_gab,<user> likewise my pinned tweet on inbreeding in the islamic world had almost <number> impressions then the moslem douche that started screaming on the airline and cried racism reported it and had his followers flag me for hate im just happy to have gotten the info out there,"[1, 1, 2]",Weak (Emotion only),48
27551614_gab,<number> spews hate against normal heterosexual men <number> expects normal heterosexual men to white knight for her whenever she needs it,"[1, 2, 1]",Weak (Emotion only),21
5378469_gab,i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch dyke pm caveat emptor,"[1, 1, 0]",Weak (Emotion only),32
1186666169522147330_twitter,i hate ghetto names 😭,"[1, 2, 1]",Weak (Emotion only),5
