post_id,text,annotator_labels,surface_cue,token_length
9717669_gab,that basically like being raped it pretty bad,"[1, 1, 2]",Medium (Emotion+Intensifier),8
16999329_gab,i was raised by my grandparents after wwii they moved to detroit from the south and were part of that economic growth then white flight to the more affluent and family friendly suburbs sad really as in the early 2 0 th century detroit was the paris of the midwest,"[2, 1, 1]",Medium (Emotion+Intensifier),50
1189416420783706112_twitter,<user> very sad moreno valley is ghetto stay away,"[1, 2, 1]",Medium (Emotion+Intensifier),9
15914970_gab,i am here and i am not queer so too bad for the internet then,"[1, 1, 2]",Medium (Emotion+Intensifier),15
7724826_gab,so no gay old dudes for you sad,"[2, 1, 1]",Medium (Emotion+Intensifier),8
1084505947408457728_twitter,<user> yeah thats pretty gross i dawn my yellow vest and kippah with pride do not like to be compared to a nazi,"[1, 1, 2]",Medium (Emotion+Intensifier),23
1184995515320029184_twitter,yea im def a dyke cause pretty boys r so ugly to me n also all the rest of them,"[2, 1, 1]",Medium (Emotion+Intensifier),20
24117432_gab,police hate pakis they always have that hate extended to white children seen with them it very simple,"[1, 1, 2]",Medium (Emotion+Intensifier),18
24459335_gab,i was a nyc ghetto medic for <number> years and the people are racist and prefer the ugly ghetto we tried placing them in nice neighboirhoods and not there are very little safety for the citizens outside midtown plus or minus even so they are left victims,"[1, 1, 2]",Medium (Emotion+Intensifier),47
16143863_gab,it sad that it took us so long to figure out that twitter is basically the ghetto of the internet twitterexodus,"[2, 1, 1]",Medium (Emotion+Intensifier),21
1179013852681428998_twitter,<user> as long as it valid truthful no woman really cares i have seen mgtow men claim men are abused more than women they are raped more than women some mgtow are very kind people who have been able to find a great community behind them others are incels who hate women,"[1, 1, 2]",Medium (Emotion+Intensifier),52
7465877_gab,nobody actually cares about having a lot of something if it is not any good people only really care about quality people want the quality produced by white majority countries but it not magic it time and effort unfortunately they are also run by evil pathological megalomaniacs,"[1, 2, 1]",Medium (Emotion+Intensifier),47
1179046855520538624_twitter,<user> is it wrong that i d pay fairly decent money to see him being raped by a labrador 🤔 and if it is is it more wrong than <number> dead due to tory austerity 🤔,"[1, 2, 1]",Medium (Emotion+Intensifier),36
1913839_gab,<user> sweden from what i have been seeing it is pretty bad i think up to <number> police consider quitting because they cannot cope a politician from beirut said sweden was worse than beirut a somalian immigrant wanted to return home somalia was safer than sweden he said,"[2, 1, 1]",Medium (Emotion+Intensifier),48
1130851794433658880_twitter,so apparently tornadoes on the isle of white is the wrong answer erm what aqageography,"[1, 1, 2]",Medium (Emotion+Intensifier),15
22152054_gab,london will probably become another ghetto just like paris and many other cities in the uk and europe sad really that the decline of western culture is and has been allowed or engineered to become so obvious to many of us,"[1, 1, 2]",Medium (Emotion+Intensifier),41
