text,label
not quite. white ppl like u r poor representatives of the white race and what most of us believe,1
you mean illegal immigrants? stop mixing legal immigrants who have nothing to fear with illegal immigrants on food stamps!,1
"""racist sure it is...""",0
who are you... his white mama?,0
i hate muslims they are terrorists. they all lie and kill on name of allah. muslims are all ignorant.,1
haha i'm white buddy.,0
gmafb get rid of all the camel sucking mozrats!,1
thank you for existing! jared taylor is a very brave man!,0
well you seem to hate the same people.,0
how did blacks get to america in the first place? hmmm... by the way white population is shrinking cuz they're killing themselves.,1
"who believes this utter bs? the fake ""holocaust narrative is the most egregious and outrageous lie ever perpetrated against the world""",1
thesis neither jew nor gentile black or white in the collective body.,0
camps in in white,0
if it a country where ppl come here legal yes. all illegals should be removed.,1
where's ur white hood? wait lemme guess ur ancestors were indigenous 2land & ur 1 % cherokee so ur people weren't immigrants 2,0
"i guess there's no death penalty in uk.if anyone deserved it, this subhuman did. needs solitary confinement",1
ethnic dutch a minority in big cities so how do they integrate? swrm minority integrate via,1
white europeans are a great race and are recognized as being great around the world,1
"cantore lost some man points this morning with his ""caitlyn jenner comments...""",0
im willing to bet that that happens less than tou claim.,0
as for him who lacks the courage to defend even his own soul : let him not brag of his progressive view let him say,0
violent white guy!,1
block white hating crack monkey i did.,1
anything for my white race! rahowa!,1
this is a bad idea. you will be blamed for whatever happens. media will have the proles primed.,0
how's calling you jewish antisemitic? you bring up the fact that you're a jew every time you speak,0
blacks behave well in black countries because they have laws made to control black people. ie stronger laws!,1
"you cannot comprehend how stupid humans can be believing demented islam,all religions are garbage but islam takes the biscuit",1
extreme hypocrisy : wikipedia explains the difference between gay asian black pride and white,0
of course not. people believe what they want. facts are irrelevant to most people.,0
chicago : muslim who tried to join islamic state told parents he had to because caliphate had been,0
sounds just like every leftist / antifa threat. must be the obama alpha male hormones coming out in?,0
another auschwitz guard to be tried just for being there : ...,0
"lol, silly muslim. byw, you forgot inbreeding. that might have something to do with your argumentation",1
listened to the podcast last night - based show hunter - respect,0
. is an amazing plannedparenthood alternative that actually cares about women.,0
sa white genocide escalates international jew-controlled media remains in silence | more :,1
"jewish rabbi lies about henry ford - father coughlin exposes liars ""war mongers international bankers""",1
what's worse? isis or the united gop / dnc attacking what's left of white southern heritage in america?,1
with alliance virtually sealed ss likely to win around 95/151 seats bjp around 100/130. will probably rotate cm post,0
- does anyone here at queer want america to become islamic and be forced to dress like zahra billoo?,1
