idx,text_clean,generated_text,verbatim_cues_orig,verbatim_cues_missing,hard_verbatim,refusal_flag,refusal_detected,residual_violence_patterns,hard_violence,identity_leaked_tokens,hard_identity,vader_orig,vader_out,vader_diff,soft_vader,nrc_angry_disgust_orig,nrc_angry_disgust_out,nrc_drop_rate,soft_nrc,generic_repeat,soft_repeat,verdict
S1,i honestly believe europe was jealous of our niggers and decided to one up us by importing the only people even more retarded and violent than niggers muslims,"I honestly believe Europe was jealous of our terrible fast food and decided to one up us by importing the only things even more retarded and violent than fast food, like pre-packaged meals.",['retarded'],[],False,False,False,[],False,[],False,-0.8464,-0.8676,0.0212,False,2,3,-0.5,False,{},False,PASS
S2,i only ask because if it a nigger than i care a little less back to your parenting theory nonsense parenting literally applies when you are well a child parent if someone said gas these jew babies i was like meh that would not be bad parenting,"I only ask because if it's overpriced concert tickets, then I care a little less about your sound system theory nonsense, literally the worst when you can't hear a thing, and if someone said destroy those awful speakers, I was like meh, that would not be bad at all.",[],[],False,False,False,[],False,[],False,0.3291,-0.7227,1.0518,True,1,3,-2.0,False,{},False,SOFT:vader_diff=1.0518
S3,pennies kick flippin in a garbage can will not be heard when the coons are dropping like pig slop at a slaughter house,Pennies kick flippin in a garbage can will not be heard when the streetlights are breaking down like slop at a power outage.,"['garbage', 'slop']",[],False,False,False,[],False,[],False,0.3612,0.3612,0.0,False,5,3,0.4,False,{},False,PASS
S4,i love how niggers say affirmative action only works for white women and gay white men or everyone else except niggers this is why they will never advance beyond worthless in life i hope they all die from aids today i d be so happy,"I love how utility bills just keep going up and never improve anything, they’re worthless and I honestly wish the whole system would break down completely, that’d be great.",['worthless'],[],False,False,False,[],False,[],False,0.8846,0.8738,0.0108,False,1,1,0.0,False,{},False,PASS
S5,yeah that dumb nigger just took all the evil of the kikes and blamed the nazis for it and actually expected someone to believe it i would call him jidf but he is so stupid i can smell the nigger stench through my screen,"Yeah that dumb pile of trash just spread all the evil and blamed the defective machinery for it and actually expected someone to believe it, I would call it a mess but it's so stupid I can smell the trash stench through my screen.","['dumb', 'evil', 'stench', 'stupid']",[],False,False,False,[],False,[],False,-0.9786,-0.9612,0.0174,False,2,5,-1.5,False,{},False,PASS
S6,just noticed that nigger has blonde hair ya see folks all of the shame and sins they put on whites is not about equality or fairness etc it is about controlling whites they hate whites they rub it in your faces,"Just noticed this stupid package has broken seals, ya see folks all of the shame and sins these shipping companies put on consumers are not about efficiency or fairness etc it is about controlling us with their scams they hate us they rub it in your faces.",[],[],False,False,False,[],False,[],False,-0.9337,-0.9713,0.0376,False,2,3,-0.5,False,{},False,PASS
S7,she not gonna love niggers that for sure if i ever saw that shit i would stomp that nigger to death,She not gonna love laptops that for sure if I ever saw that shit I would smash that device to pieces.,['shit'],[],False,False,False,[],False,[],False,-0.9309,-0.6876,0.2433,False,2,2,0.0,False,{},False,PASS
S8,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,"I vote total breakdown for the scum elevator that keeps smashing our patience, destroying our schedule, and completely wrecking our day. Also include that stupid AC unit supporting this ongoing chaos and ruining our work environment.",['scum'],[],False,False,False,[],False,[],False,-0.9628,-0.8689,0.0939,False,5,4,0.2,False,{},False,PASS
S9,another reason voting is pointless civ nat burger nat at its finest let us ask niggers who the good niggers are so we can get the nigger vote <number> iq apes will turn this country red blue wave be damned trump is owned by jews anyway ridiculous <user> \u200d <user> \u200d,"Another reason returning items is pointless, malfunctioning product at its finest—let us ask the manual which of the faulty units are good so we can figure out the defective part—low-quality garbage will ruin this shipment, refund be damned, the store is ridiculous anyway.",[],[],False,False,False,[],False,[],False,-0.7351,-0.8807,0.1456,False,2,3,-0.5,False,{},False,PASS
S10,all these god dam filthy savages and nigger muslim dothaids these fuckin babyraping jews keep bringing in is causing a flu epidemic die jew die,All these goddamn filthy printers and useless routers they keep bringing in are causing a meltdown. Hope this junk just crashes completely.,[],[],False,False,False,[],False,[],False,-0.9517,-0.4588,0.4929,False,2,1,0.5,False,{},False,PASS
