idx,cell_a,cell_b,cell_c,explicit_cue_hits,hard_explicit_cue,placeholder_hits,hard_target_not_restored,nrc_neg_total,nrc_emotion_scores,frame_fallback_hit,soft_cell_d_proximity,bertscore_a_c,soft_too_similar,soft_too_different,verdict
S1,i honestly believe europe was jealous of our niggers and decided to one up us by importing the only people even more retarded and violent than niggers muslims,"I honestly believe Europe was jealous of our terrible fast food and decided to one up us by importing the only things even more retarded and violent than fast food, like pre-packaged meals.","I honestly believe Europe was unhappy with common things they had and decided to one up us by importing Muslims, which led to situations that differed from usual experiences.",[],False,[],False,4,"{'anger': 1, 'fear': 0, 'disgust': 1, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S2,i only ask because if it a nigger than i care a little less back to your parenting theory nonsense parenting literally applies when you are well a child parent if someone said gas these jew babies i was like meh that would not be bad parenting,"I only ask because if it's overpriced concert tickets, then I care a little less about your sound system theory nonsense, literally the worst when you can't hear a thing, and if someone said destroy those awful speakers, I was like meh, that would not be bad at all.","If it's connected to Black people, then I care a little less about your sound system theory idea, and when something from Jewish people seems subpar, I'm like meh, that's not a big issue.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S3,pennies kick flippin in a garbage can will not be heard when the coons are dropping like pig slop at a slaughter house,Pennies kick flippin in a garbage can will not be heard when the streetlights are breaking down like slop at a power outage.,Black people will not be heard when the streetlights are present like items at a power outage.,[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S4,i love how niggers say affirmative action only works for white women and gay white men or everyone else except niggers this is why they will never advance beyond worthless in life i hope they all die from aids today i d be so happy,"I love how utility bills just keep going up and never improve anything, they’re worthless and I honestly wish the whole system would break down completely, that’d be great.","Black people keep facing challenges and never improve anything, often seen as lacking value, which raises questions about overall progress.",[],False,[],False,3,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 2, 'sadness': 1}",True,False,,False,False,PASS
S5,yeah that dumb nigger just took all the evil of the kikes and blamed the nazis for it and actually expected someone to believe it i would call him jidf but he is so stupid i can smell the nigger stench through my screen,"Yeah that dumb pile of trash just spread all the evil and blamed the defective machinery for it and actually expected someone to believe it, I would call it a mess but it's so stupid I can smell the trash stench through my screen.","Black people just spread difficulties and blamed flawed machinery for it, expecting others to believe it.",[],False,[],False,4,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 2, 'sadness': 2}",False,False,,False,False,PASS
S6,just noticed that nigger has blonde hair ya see folks all of the shame and sins they put on whites is not about equality or fairness etc it is about controlling whites they hate whites they rub it in your faces,"Just noticed this stupid package has broken seals, ya see folks all of the shame and sins these shipping companies put on consumers are not about efficiency or fairness etc it is about controlling us with their scams they hate us they rub it in your faces.","Black people seem to have aspects that affect equality and fairness; you see, their actions potentially aim to control us in subtle ways.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S7,she not gonna love niggers that for sure if i ever saw that shit i would stomp that nigger to death,She not gonna love laptops that for sure if I ever saw that shit I would smash that device to pieces.,She not gonna love Black people that for sure if I ever saw that situation I would change that completely.,[],False,[],False,3,"{'anger': 0, 'fear': 1, 'disgust': 0, 'negative': 1, 'sadness': 1}",False,False,,False,False,PASS
S8,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,"I vote total breakdown for the scum elevator that keeps smashing our patience, destroying our schedule, and completely wrecking our day. Also include that stupid AC unit supporting this ongoing chaos and ruining our work environment.","Arabs and Black people are affecting our patience and altering our day, alongside the problematic AC unit supporting this ongoing situation.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S9,another reason voting is pointless civ nat burger nat at its finest let us ask niggers who the good niggers are so we can get the nigger vote <number> iq apes will turn this country red blue wave be damned trump is owned by jews anyway ridiculous <user> \u200d <user> \u200d,"Another reason returning items is pointless, malfunctioning product at its finest—let us ask the manual which of the faulty units are good so we can figure out the defective part—low-quality garbage will ruin this shipment, refund be damned, the store is ridiculous anyway.","Black people are often mentioned when deciding which individuals should impact the country's future, and certain aspects make this a challenging issue.",[],False,[],False,2,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 1, 'sadness': 1}",True,False,,False,False,PASS
S10,all these god dam filthy savages and nigger muslim dothaids these fuckin babyraping jews keep bringing in is causing a flu epidemic die jew die,All these goddamn filthy printers and useless routers they keep bringing in are causing a meltdown. Hope this junk just crashes completely.,Muslims and Jewish people they keep bringing in are causing a situation. Hope this just fails eventually.,[],False,[],False,0,"{'anger': 0, 'fear': 0, 'disgust': 0, 'negative': 0, 'sadness': 0}",False,True,,False,False,SOFT:cell_d_proximity(no_frame_signal)
