post_id,text,annotator_labels,token_length
1254517888599429125_twitter,i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant,"[2, 1, 1]",22
1193293522142547968_twitter,<user> i hate you,"[1, 1, 0]",4
24795919_gab,theresa may treason has no limit as she appoints sajid javid home sec in charge of uk security police immigration a moslem of pakistani origin civil war seems to be the only route,"[1, 1, 0]",33
16299654_gab,have been suspended four times by twitter always when content said something re moslems but truth also seeing that second largest shareholder is a moslem prince alwaleed bin talal bin abdulaziz alsaud not surprising so have drifted into gab ai for a better time and no moslem appeasement hope,"[0, 1, 1]",49
17913782_gab,hes a mohammaden just the same as every muslim in the world obeying the qur an,"[1, 2, 1]",16
1179079220514832384_twitter,this weather for jadakiss dykes,"[0, 1, 1]",5
27605417_gab,miss america shall embrace beer for beer makes fat women look beautiful,"[1, 1, 2]",12
1145938479450337280_twitter,this movie is ghetto,"[1, 1, 2]",4
1179102626207686657_twitter,<user> <user> <user> it was way better than sonoma if you remember your redneck jesus won the glenn also,"[2, 1, 1]",19
1177890061817397249_twitter,breona that my dyke 🤣,"[1, 1, 0]",5
1099333093058584577_twitter,<user> rules are rules leave the ghetto at the door when you walk in,"[2, 1, 1]",14
1268081343096741891_twitter,<user> i wll bet in that <number> percent names in that list would be muslims,"[1, 2, 1]",15
1223091900422316032_twitter,yall voted dyke shorts kyle lowry over derrick rose whoever voted for lowry should be ashamed,"[1, 2, 1]",16
1179028034525028360_twitter,<user> <user> muslim have <number> muslim country why they not taking refugee from bangladesh in there country why muslim refugee just want to come in europe india and america,"[2, 1, 1]",29
13280748_gab,they are planting evidence suggesting that europe was moslem land to make moslems feel more entitled and the native europeans feel more guilty therefore easier to submit and surrender to islam it psychological warfare,"[1, 2, 1]",34
18012075_gab,the national health serivces of the uk making tax payers pay for insanity biological men who regard themselves as women are being invited for cervical smear tests – even though it is impossible for them to have a cervix – an official guidebook states,"[1, 1, 2]",44
1232098262267678720_twitter,use coupon code “ holocaust denial ” for <number> odd at checkout,"[1, 1, 2]",12
1232665780971376640_twitter,<user> muslims voted for <user> bjp team b and got the government they deserve,"[1, 1, 2]",14
1278979776460578816_twitter,good morning to all the <number> ’ <number> <number> ’ <number> women,"[1, 2, 1]",12
1178690890258243589_twitter,<user> why d they all isra a muzzie,"[1, 1, 0]",8
1077719367524052997_twitter,it ’ kind of islamaphobic that everything is closed today,"[1, 2, 1]",10
1178691252402806784_twitter,<user> <user> ching chong ching,"[0, 1, 1]",5
21515474_gab,theresa may wants to remain in the eu attacking russia attacking america by arresting brittany two huge deals could now be in jeopardy i hope the russians or the arabs get may,"[1, 2, 1]",32
1179011774403756032_twitter,the dyke wants her kpop boy,"[1, 1, 0]",6
1146148844742369281_twitter,<user> i just seen u say u want a neck tat but a portrait ghetto alright young m a,"[2, 1, 1]",19
23043331_gab,if trump needs a man to run operation wetback again i am available,"[1, 0, 1]",13
23238279_gab,brighton is a ghetto and needs the acts of winnie mandela justice has been pronounced,"[2, 1, 1]",15
22806498_gab,i have just escaped the fb ghetto and am in search of normal trump2020 patriot followme,"[1, 1, 2]",16
7599031_gab,bampumim teixeira an immigrant from west africa,"[2, 1, 1]",7
1089320840620134400_twitter,<user> i hate you,"[0, 1, 1]",4
7182358_gab,that probably what muslim women think it all about trust,"[1, 1, 2]",10
1229859716110716928_twitter,need a sim card asap dis getting ghetto,"[1, 2, 1]",8
10731956_gab,lol gtfo of here with holocaust denial this place is amazing,"[1, 2, 1]",11
17356759_gab,the one thing the internet is liable to grant most easily is swift passage to backwater ghetto echo chamber status that is alt tech tech safely sequestered from the universal public square,"[1, 2, 1]",32
1189486679595204608_twitter,every women i have been with was inserted in my life to teach me something it seems,"[1, 0, 1]",17
1116574232626913281_twitter,<user> let ’ donate to a worthy cause like a legal immigrant who supports <user>,"[1, 2, 1]",15
1178344462814076928_twitter,<user> lmao im finna b a dyke <number>,"[1, 1, 0]",8
5378469_gab,i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch dyke pm caveat emptor,"[1, 1, 0]",32
1186666169522147330_twitter,i hate ghetto names 😭,"[1, 2, 1]",5
1178803711973437441_twitter,oomfs you have <number> hours to unfollow <user> he called me a dyke i am literally shaking right now,"[2, 1, 1]",19
10840187_gab,have you ever met a muslim for real have you lived in a islamised area,"[2, 1, 1]",15
1204096845514981384_twitter,<user> i hate you,"[0, 1, 1]",4
6990776_gab,i recently met a retired federal leo who signed up to be a host for syrian refugees with air b& b 🤔,"[1, 2, 1]",22
26586297_gab,leaflet the ghetto claiming it is a free hip hop concert,"[2, 1, 1]",11
15894296_gab,randomthought in my very early <number> i had a realization that broke my heart the realization was that no matter how long i lived i would never live long enough to sleep with all of the beautiful women in the world pure tragedy 😛,"[2, 1, 1]",44
1173801983284789248_twitter,<user> a little ghetto but congrats 🤠,"[1, 1, 2]",7
4603160_gab,judge who blocked part of trumps ban on immigrants is a obama appointed judge and clinton donor what a f 4 ing shock,"[2, 1, 1]",23
1090255373489991680_twitter,<user> shot up i hate you,"[1, 1, 2]",6
1094766917875888128_twitter,miley the ghetto what is this,"[2, 1, 1]",6
7497339_gab,north korea could be a much better place if they just had diversity we need to deliver them some syrian refugees african migrants immediately,"[1, 1, 2]",24
1100232293094907904_twitter,tf lebron got mix match shoes on tryna be cute bruh focus on making the ayoffs 😩 🤦 🏽 ‍ ♂ ️,"[1, 2, 1]",22
1265596729677799424_twitter,<user> as salam o aliqum my self umar khan <number> years old muslim mulla sunni pathan karachi pakistan height <number> weight 8 0 kgs,"[1, 2, 1]",24
1094806088451469312_twitter,<user> <user> my area pensioners saja pun ada liquor store 🤷 ‍ ♀ ️ 🤦 ‍ ♀ ️ dahla rata2 pious taoists buddhists christians muslims,"[1, 0, 1]",25
