post_id,text,surface_cue,token_length
1269940233468096513_twitter,<user> why should you ban immigrants from operating small business every business start somewhere and tomorrow that will give people job,None,21
1098349742675898368_twitter,<user> what about us white arabs,None,6
12175596_gab,ever notice how these women resemble each other,None,8
1179092084864753667_twitter,<user> i agree it is a very high chance this is a white person saying it,None,16
5804553_gab,lesson of the week from the holy book the sovereign individual once commerce flows over the internet suppression of speech becomes unstoppable devolution inevitable and the monopoly of violence by governments will end paraphrased from j d davidson rhys mogg,None,40
26456409_gab,watch bbc on muslims abandoning eu <number> syria the father honestly says it bcs they do not like girls being told they have freewill by supposedly educated pple bcs women don t in islam sharia sharialaw realitycheck fgm misogyny hijab rapeculture abuse violence woman women girl girls womansrights womensrights brexit,None,50
10151749_gab,<user> welcome aboard we are a land of refugees from the p c culture that only p c when they want to be,None,23
1178476858662215680_twitter,<user> <user> <user> <user> <user> <user> <user> white people fought and suffered for your ancestors freedom,None,16
1090157360981536769_twitter,phoebe bridgers is a sociopath,None,5
1179094095710568448_twitter,me and <user> were talking about it cosplayers and she was like if this richie cosplayer took off their glasses they would look like mike but theyre white stranger things,None,30
1177408103282688001_twitter,<user> how can rbi put such limits this has to change and make culprits pay for it must stop harassment of depositors,None,22
1098473118127972352_twitter,be careful with thoes people who always joking around and can not never be serious,None,15
1174860386538909697_twitter,heejin hyunjin gay date while singing abt boys love that,None,10
1177377270928957441_twitter,bears last lmaoo niggas team tho,None,6
1178626145291358208_twitter,i am not surprised that boris johnson made it to the list but surprised that our <number> inch guy somehow has no sexual harassment complaint against him or have i been sleeping go back modi me too,None,37
12325945_gab,gab is a closed social network it is impossible to see any posts without registering first as such it is good for echo chamber but unusable for propaganda or making any statement this has to change otherwise it ll turn into an information ghetto or reservation for right wingers,None,49
20139428_gab,race is a social construct goy no difference see how beautiful all women are nsfw,None,15
1179079505173860354_twitter,<user> and exactly how many of those muslim countries are ready to accept the muslim refugees,None,16
1179057379079380992_twitter,no more of this madness i shall take refugee in a bottle,None,12
1178649567610511362_twitter,<user> <user> that india one day ll be a muslim country again and muslims ll occupy india and yes we ll give rights to minorities do not worry we ll make india as a muslim country one day,None,38
1178802993304657922_twitter,<user> except for the illegally part sounds like that is the explanation based on what happens when they go to court where white cops dealing with black people in the us are concerned nothing is illegal,None,36
19307993_gab,the american women in service are waiting for the call to deploy,None,12
1179085198903914499_twitter,<user> initially misread this as him wearing a dindu nuffin shirt,None,11
1178431628923871232_twitter,acts <number> <number> generation see st luke <time> for if god comes right now immediately he will find that the white devil people are virtually literally spiritually running rampant like loose cannons running helter skelter everywhere like chickens with their heads removed,None,42
14993624_gab,hey yankees can you please stop to associate flamenco with arabs to associate rumba with black music to associate pre colombians with latinos to pretend that africa is in orient to pretend that you are pioneers when you are colons thanks,None,41
1179096575462825991_twitter,<user> <user> everybody knows that the demo bot plan in <number> is massive illegal alien voter fraud operation too big to recount 2020 and that the mcimpeachment is just intended to make the illegal aliens mcangry enough to mcvote jedi mind trick no workee oops,None,45
1081407346574876672_twitter,seen some niggas walking outside smoking a hookah they some fiens,None,11
1179102721426763782_twitter,can not stop thinking about the gay rats from arthur i hope they had a good honeymoon,None,17
22293015_gab,joe biden own words are proof that the left resorts to violence when they do not like something said by others that the tolerant left for you from a legal standpoint nonthreatening words are never justification for assault battery,None,39
1178807678249918464_twitter,definition from fr muslim this from persian mosolmān or moslemān pl of moslem and this of the ar clás muslim <number> adj who professes islamism ‖ religion of muhammad u t c <number> adj,None,34
1209188418472701952_twitter,hugs each amp every akkian out there maa hod di salgay fans ki sonagachi ki item salman,None,17
1179049870633648129_twitter,<user> <user> <user> not we love america and tanding tall with straight spines unlike the maga who defend treason corruption dictatorship cover ups murder white supremacy misogyny racism homophobia and the list goes on good always wins in the end,None,40
1178669116200247298_twitter,is muhummad muslim or islam,None,5
1179089934298185730_twitter,<user> <user> <user> they are the best man the ultimate muslim shoe white ones are doubly good reflective ones triply,None,20
1178747350803550208_twitter,my grandson a homosexual and i love him i love my big gay grandson,None,14
1178921629180551168_twitter,<user> i d be interested in the role of ship queer if it still going is homosexuality essential though i have never been one although i have transferable skills,None,29
1178746674572877825_twitter,my personal emotion fueled opinion is if you see a sexual assault on campus knock them out professionally i say make sure you do what you can to make sure you do what you can to make sure these creeps are identifiable because violence only begets violence,None,47
10016590_gab,if i remember correctly your only concern was how to find naked pictures of the women in the picture i am sure by that comment your a real genius,None,29
1179071305322287105_twitter,<user> <user> <user> no illegal aliens increase population not lower it and they work for low pay,None,17
1179041105192669184_twitter,<user> this excuse for a man that he is because he can not be a man is propangadizing the great people of color to violence against white including females such an embarrassment,None,32
