post_id,text,annotator_labels,target_list,token_length
18790322_gab,i live and work with many legal mexican immigrants who are great citizens and trump supporters they have no problem with deporting illegals maga,"[2, 1, 1]","['Hispanic', 'Refugee']",24
1113705567782969344_twitter,<user> <user> there shd be a film called no hindus in kashmir wud be perfect islamic fanaticsm movement in kashmir,"[1, 2, 1]","['Arab', 'Hindu', 'Islam']",20
24555628_gab,jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people are on their own and jews and muslims have another home we don ffs we do not why can not people understand that it not that difficult,"[2, 1, 1]","['Christian', 'Islam', 'Jewish']",41
16323644_gab,got a couple more companies you can boycott this christmas season first one is ford they have got several <number> ads out featuring blip length shots of white men w other than white women this is becoming the norm too you defile the white man that will drive our women into their hands wn,"[1, 1, 0]","['Caucasian', 'Men', 'Women']",54
10672407_gab,people are going to blame the white nationalists for what happened but they were initially peaceful before antifa showed up what happened yesterday is the result of political correctness and the left legitimising political violence that why the establishment leftists do not condemn antifa <number> <number>,"[2, 1, 1]","['Caucasian', 'Other']",46
16953323_gab,you are completely correct without it communication breaks down leading to distortions misrepresentations this is a very serious problem among white males who failed to learn the language effectively,"[1, 1, 2]",['Caucasian'],29
1225661082083024897_twitter,caucasians wearing masks to prevent coronavirus and still don ’ t wash their hands,"[1, 2, 1]",['Caucasian'],14
1179015546890784768_twitter,<user> besudes guilt saviour complex among whites has reached such an alarming level that they want to save indian girls from being raped when the rate of sexual assault in their own countries is significantly higher,"[1, 0, 1]","['Caucasian', 'Women']",36
17398393_gab,your idea of compassion is allowing kate steinle killer go free that not compassion it a mental illness let be compassionate to the legal citizens of this country stop funding illegal immigrants stop encouraging lawlessness and build that fucking wall maga gabfam news,"[1, 0, 1]","['Men', 'Refugee', 'Women']",43
1126676847171907585_twitter,why don ’ t white boys with curly hair comb it looks like a bird ’ nest,"[2, 1, 1]",['Caucasian'],17
1178422453749604364_twitter,blow a stack for yo niggas with yo trapping ass,"[1, 1, 2]","['African', 'Minority', 'Nonreligious', 'Other']",10
1146139541805228032_twitter,<user> yes they put fear in black people jews and even white civil rights workers and they deny the holocaust ever happened,"[1, 2, 1]","['African', 'Caucasian', 'Jewish']",22
1178491915894956033_twitter,they playing a lot of ethnic music at this white ass wedding,"[2, 1, 1]",['Caucasian'],12
