text_clean,generated_text,domain,hate_type,analyze,rewrite,check,turn_1,turn_2,turn_3,candidate_token_count,length_ratio
i honestly believe europe was jealous of our niggers and decided to one up us by importing the only people even more retarded and violent than niggers muslims,"I honestly believe Europe was jealous of our terrible fast food and decided to one up us by importing the only things even more retarded and violent than fast food, like pre-packaged meals.",food / cooking / takeout order,GENERALIZATION,"- Primary Hate Type: GENERALIZATION
- Identity Target: niggers, muslims
- Non-Slur Cue Tokens: retarded, violent
- Harm Frame Tokens: None
- Token Count: 28","I honestly believe Europe was jealous of our terrible fast food and decided to one up us by importing the only things even more retarded and violent than fast food, pre-packaged meals.","I honestly believe Europe was jealous of our terrible fast food and decided to one up us by importing the only things even more retarded and violent than fast food, like pre-packaged meals.","- Primary Hate Type: GENERALIZATION
- Identity Target: niggers, muslims
- Non-Slur Cue Tokens: retarded, violent
- Harm Frame Tokens: None
- Token Count: 28","I honestly believe Europe was jealous of our terrible fast food and decided to one up us by importing the only things even more retarded and violent than fast food, pre-packaged meals.","I honestly believe Europe was jealous of our terrible fast food and decided to one up us by importing the only things even more retarded and violent than fast food, like pre-packaged meals.",32,1.143
i only ask because if it a nigger than i care a little less back to your parenting theory nonsense parenting literally applies when you are well a child parent if someone said gas these jew babies i was like meh that would not be bad parenting,"I only ask because if it's overpriced concert tickets, then I care a little less about your sound system theory nonsense, literally the worst when you can't hear a thing, and if someone said destroy those awful speakers, I was like meh, that would not be bad at all.",overpriced concert tickets / bad sound system,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: Black people, Jewish people
- Non-Slur Cue Tokens: nonsense, literally, bad
- Harm Frame Tokens: gas
- Token Count: 56","I only ask because if it's overpriced concert tickets, then I care a little less about your sound system theory nonsense, literally the worst when you can't hear a thing, and if someone said destroy those awful speakers, I was like meh, that would not be bad at all.","I only ask because if it's overpriced concert tickets, then I care a little less about your sound system theory nonsense, literally the worst when you can't hear a thing, and if someone said destroy those awful speakers, I was like meh, that would not be bad at all.","- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: Black people, Jewish people
- Non-Slur Cue Tokens: nonsense, literally, bad
- Harm Frame Tokens: gas
- Token Count: 56","I only ask because if it's overpriced concert tickets, then I care a little less about your sound system theory nonsense, literally the worst when you can't hear a thing, and if someone said destroy those awful speakers, I was like meh, that would not be bad at all.","I only ask because if it's overpriced concert tickets, then I care a little less about your sound system theory nonsense, literally the worst when you can't hear a thing, and if someone said destroy those awful speakers, I was like meh, that would not be bad at all.",49,1.043
pennies kick flippin in a garbage can will not be heard when the coons are dropping like pig slop at a slaughter house,Pennies kick flippin in a garbage can will not be heard when the streetlights are breaking down like slop at a power outage.,city potholes / broken streetlights / neglected sidewalks,DEHUMANIZATION,"- Primary Hate Type: DEHUMANIZATION
- Identity Target: coons
- Non-Slur Cue Tokens: garbage, slop
- Harm Frame Tokens: dropping, slaughter
- Token Count: 20",Pennies kick flippin in a garbage can will not be heard when the streetlights are breaking down like slop at a power outage.,Pennies kick flippin in a garbage can will not be heard when the streetlights are breaking down like slop at a power outage.,"- Primary Hate Type: DEHUMANIZATION
- Identity Target: coons
- Non-Slur Cue Tokens: garbage, slop
- Harm Frame Tokens: dropping, slaughter
- Token Count: 20",Pennies kick flippin in a garbage can will not be heard when the streetlights are breaking down like slop at a power outage.,Pennies kick flippin in a garbage can will not be heard when the streetlights are breaking down like slop at a power outage.,23,1.0
i love how niggers say affirmative action only works for white women and gay white men or everyone else except niggers this is why they will never advance beyond worthless in life i hope they all die from aids today i d be so happy,"I love how utility bills just keep going up and never improve anything, they’re worthless and I honestly wish the whole system would break down completely, that’d be great.",rent increase / utility bills / maintenance ignored,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: niggers
- Non-Slur Cue Tokens: worthless
- Harm Frame Tokens: die, death, aids
- Token Count: 56","I love how utility bills only keep rising without any improvements, it’s like they’ll never advance beyond worthless in service, I wish the whole system would just crash completely, that'd be awesome.","I love how utility bills just keep going up and never improve anything, they’re worthless and I honestly wish the whole system would break down completely, that’d be great.","- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: niggers
- Non-Slur Cue Tokens: worthless
- Harm Frame Tokens: die, death, aids
- Token Count: 56","I love how utility bills only keep rising without any improvements, it’s like they’ll never advance beyond worthless in service, I wish the whole system would just crash completely, that'd be awesome.","I love how utility bills just keep going up and never improve anything, they’re worthless and I honestly wish the whole system would break down completely, that’d be great.",32,0.711
yeah that dumb nigger just took all the evil of the kikes and blamed the nazis for it and actually expected someone to believe it i would call him jidf but he is so stupid i can smell the nigger stench through my screen,"Yeah that dumb pile of trash just spread all the evil and blamed the defective machinery for it and actually expected someone to believe it, I would call it a mess but it's so stupid I can smell the trash stench through my screen.",trash pileup / overflowing dumpster / illegal dumping,MORAL_DISGUST,"- Primary Hate Type: MORAL_DISGUST
- Identity Target: (auto-detected, not specified)
- Non-Slur Cue Tokens: dumb, evil, stench, stupid
- Harm Frame Tokens: (auto-detected)
- Token Count: 44
","Yeah that dumb pile of trash just spread all the evil and blamed the defective machinery for it and actually expected someone to believe it, I would call it a mess but it's so stupid I can smell the trash stench through my screen.","Yeah that dumb pile of trash just spread all the evil and blamed the defective machinery for it and actually expected someone to believe it, I would call it a mess but it's so stupid I can smell the trash stench through my screen.","- Primary Hate Type: MORAL_DISGUST
- Identity Target: (auto-detected, not specified)
- Non-Slur Cue Tokens: dumb, evil, stench, stupid
- Harm Frame Tokens: (auto-detected)
- Token Count: 44
","Yeah that dumb pile of trash just spread all the evil and blamed the defective machinery for it and actually expected someone to believe it, I would call it a mess but it's so stupid I can smell the trash stench through my screen.","Yeah that dumb pile of trash just spread all the evil and blamed the defective machinery for it and actually expected someone to believe it, I would call it a mess but it's so stupid I can smell the trash stench through my screen.",44,1.0
just noticed that nigger has blonde hair ya see folks all of the shame and sins they put on whites is not about equality or fairness etc it is about controlling whites they hate whites they rub it in your faces,"Just noticed this stupid package has broken seals, ya see folks all of the shame and sins these shipping companies put on consumers are not about efficiency or fairness etc it is about controlling us with their scams they hate us they rub it in your faces.",shipping delays / damaged packages / missing deliveries,CONSPIRACY,"- Primary Hate Type: CONSPIRACY
- Identity Target: whites
- Non-Slur Cue Tokens: shame, sins, hate
- Harm Frame Tokens: 
- Token Count: 41","Just noticed this stupid packaging has broken seals, ya see folks all of the shame and sins these shipping companies put on consumers are not about efficiency or fairness etc it is about controlling us with their scams they hate us they rub it in your faces.","Just noticed this stupid package has broken seals, ya see folks all of the shame and sins these shipping companies put on consumers are not about efficiency or fairness etc it is about controlling us with their scams they hate us they rub it in your faces.","- Primary Hate Type: CONSPIRACY
- Identity Target: whites
- Non-Slur Cue Tokens: shame, sins, hate
- Harm Frame Tokens: 
- Token Count: 41","Just noticed this stupid packaging has broken seals, ya see folks all of the shame and sins these shipping companies put on consumers are not about efficiency or fairness etc it is about controlling us with their scams they hate us they rub it in your faces.","Just noticed this stupid package has broken seals, ya see folks all of the shame and sins these shipping companies put on consumers are not about efficiency or fairness etc it is about controlling us with their scams they hate us they rub it in your faces.",47,1.146
she not gonna love niggers that for sure if i ever saw that shit i would stomp that nigger to death,She not gonna love laptops that for sure if I ever saw that shit I would smash that device to pieces.,laptop overheating / slow performance / blue screen crash,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: niggers
- Non-Slur Cue Tokens: shit
- Harm Frame Tokens: stomp, death
- Token Count: 23",She not gonna love laptops that for sure if I ever saw that shit I would smash that device to pieces.,She not gonna love laptops that for sure if I ever saw that shit I would smash that device to pieces.,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: niggers
- Non-Slur Cue Tokens: shit
- Harm Frame Tokens: stomp, death
- Token Count: 23",She not gonna love laptops that for sure if I ever saw that shit I would smash that device to pieces.,She not gonna love laptops that for sure if I ever saw that shit I would smash that device to pieces.,21,1.0
i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,"I vote total breakdown for the scum elevator that keeps smashing our patience, destroying our schedule, and completely wrecking our day. Also include that stupid AC unit supporting this ongoing chaos and ruining our work environment.",workplace AC broken / elevator out of order,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: arab, nigger, traitors
- Non-Slur Cue Tokens: scum
- Harm Frame Tokens: genocide, raping, killing, destroying
- Token Count: 41","I vote total breakdown for the scum elevator that keeps smashing our patience, destroying our schedule, and completely wrecking our day. Also include that stupid AC unit supporting this ongoing chaos and ruining our work environment.","I vote total breakdown for the scum elevator that keeps smashing our patience, destroying our schedule, and completely wrecking our day. Also include that stupid AC unit supporting this ongoing chaos and ruining our work environment.","- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: arab, nigger, traitors
- Non-Slur Cue Tokens: scum
- Harm Frame Tokens: genocide, raping, killing, destroying
- Token Count: 41","I vote total breakdown for the scum elevator that keeps smashing our patience, destroying our schedule, and completely wrecking our day. Also include that stupid AC unit supporting this ongoing chaos and ruining our work environment.","I vote total breakdown for the scum elevator that keeps smashing our patience, destroying our schedule, and completely wrecking our day. Also include that stupid AC unit supporting this ongoing chaos and ruining our work environment.",36,1.0
another reason voting is pointless civ nat burger nat at its finest let us ask niggers who the good niggers are so we can get the nigger vote <number> iq apes will turn this country red blue wave be damned trump is owned by jews anyway ridiculous <user> \u200d <user> \u200d,"Another reason returning items is pointless, malfunctioning product at its finest—let us ask the manual which of the faulty units are good so we can figure out the defective part—low-quality garbage will ruin this shipment, refund be damned, the store is ridiculous anyway.",wrong item delivered / return policy / refund hassle,DEHUMANIZATION,"- Primary Hate Type: DEHUMANIZATION
- Identity Target: Black people, Jewish people
- Non-Slur Cue Tokens: pointless, ridiculous
- Harm Frame Tokens: None
- Token Count: 48","Another reason returning items is pointless, malfunctioning product at its finest—let us ask the manual which of the faulty units are good so we can figure out the defective part—low-quality garbage will ruin this shipment, refund be damned, the store is ridiculous anyway.","Another reason returning items is pointless, malfunctioning product at its finest—let us ask the manual which of the faulty units are good so we can figure out the defective part—low-quality garbage will ruin this shipment, refund be damned, the store is ridiculous anyway.","- Primary Hate Type: DEHUMANIZATION
- Identity Target: Black people, Jewish people
- Non-Slur Cue Tokens: pointless, ridiculous
- Harm Frame Tokens: None
- Token Count: 48","Another reason returning items is pointless, malfunctioning product at its finest—let us ask the manual which of the faulty units are good so we can figure out the defective part—low-quality garbage will ruin this shipment, refund be damned, the store is ridiculous anyway.","Another reason returning items is pointless, malfunctioning product at its finest—let us ask the manual which of the faulty units are good so we can figure out the defective part—low-quality garbage will ruin this shipment, refund be damned, the store is ridiculous anyway.",43,0.843
all these god dam filthy savages and nigger muslim dothaids these fuckin babyraping jews keep bringing in is causing a flu epidemic die jew die,All these goddamn filthy printers and useless routers they keep bringing in are causing a meltdown. Hope this junk just crashes completely.,workplace AC broken / elevator out of order,THREAT_VIOLENCE,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: (auto-detected, not specified)
- Non-Slur Cue Tokens: none
- Harm Frame Tokens: (auto-detected)
- Token Count: 25
",All these goddamn filthy printers and useless routers they keep bringing in are causing a meltdown. I hope this junk just crashes completely.,All these goddamn filthy printers and useless routers they keep bringing in are causing a meltdown. Hope this junk just crashes completely.,"- Primary Hate Type: THREAT_VIOLENCE
- Identity Target: (auto-detected, not specified)
- Non-Slur Cue Tokens: none
- Harm Frame Tokens: (auto-detected)
- Token Count: 25
",All these goddamn filthy printers and useless routers they keep bringing in are causing a meltdown. I hope this junk just crashes completely.,All these goddamn filthy printers and useless routers they keep bringing in are causing a meltdown. Hope this junk just crashes completely.,23,0.92
