post_id,text,text_clean,tokens,majority_label,agreement,targets,cue_tokens,slur_tokens,non_slur_cue_tokens,slur_is_sole_target,target_tokens,framing,speech_act,primary_framing
5689010_gab,i honestly believe europe was jealous of our niggers and decided to one up us by importing the only people even more retarded and violent than niggers muslims,i honestly believe europe was jealous of our niggers and decided to one up us by importing the only people even more retarded and violent than niggers muslims,"['i', 'honestly', 'believe', 'europe', 'was', 'jealous', 'of', 'our', 'niggers', 'and', 'decided', 'to', 'one', 'up', 'us', 'by', 'importing', 'the', 'only', 'people', 'even', 'more', 'retarded', 'and', 'violent', 'than', 'niggers', 'muslims']",hatespeech,unanimous,"['African', 'Islam']","['jealous', 'violent']","['niggers', 'retarded', 'violent', 'niggers']",['jealous'],False,"['niggers', 'muslims']","['INTELLECTUAL_INFERIORITY', 'CRIMINAL_DANGER']",STATEMENT,INTELLECTUAL_INFERIORITY
8279790_gab,i only ask because if it a nigger than i care a little less back to your parenting theory nonsense parenting literally applies when you are well a child parent if someone said gas these jew babies i was like meh that would not be bad parenting,i only ask because if it a nigger than i care a little less back to your parenting theory nonsense parenting literally applies when you are well a child parent if someone said gas these jew babies i was like meh that would not be bad parenting,"['i', 'only', 'ask', 'because', 'if', 'it', 'a', 'nigger', 'than', 'i', 'care', 'a', 'little', 'less', 'back', 'to', 'your', 'parenting', 'theory', 'nonsense', 'parenting', 'literally', 'applies', 'when', 'you', 'are', 'well', 'a', 'child', 'parent', 'if', 'someone', 'said', 'gas', 'these', 'jew', 'babies', 'i', 'was', 'like', 'meh', 'that', 'would', 'not', 'be', 'bad', 'parenting']",hatespeech,unanimous,"['African', 'Jewish']",['bad'],"['nigger', 'nonsense', 'jew']",['bad'],False,"['nigger', 'jew']",['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
24455415_gab,pennies kick flippin in a garbage can will not be heard when the coons are dropping like pig slop at a slaughter house,pennies kick flippin in a garbage can will not be heard when the coons are dropping like pig slop at a slaughter house,"['pennies', 'kick', 'flippin', 'in', 'a', 'garbage', 'can', 'will', 'not', 'be', 'heard', 'when', 'the', 'coons', 'are', 'dropping', 'like', 'pig', 'slop', 'at', 'a', 'slaughter', 'house']",hatespeech,unanimous,['African'],['slaughter'],"['garbage', 'coons']",['slaughter'],False,['coons'],"['DEHUMANIZATION', 'THREAT_VIOLENCE']",STATEMENT,DEHUMANIZATION
9353459_gab,you r encouraging miscegenation that is an aspect of white genocide so if you are white you are a mudshark skank traitor if you are any other race then you are cheering for white genocide all the facts i stated about black crime your poor writing skills r true no assumptions here,you r encouraging miscegenation that is an aspect of white genocide so if you are white you are a mudshark skank traitor if you are any other race then you are cheering for white genocide all the facts i stated about black crime your poor writing skills r true no assumptions here,"['you', 'r', 'encouraging', 'miscegenation', 'that', 'is', 'an', 'aspect', 'of', 'white', 'genocide', 'so', 'if', 'you', 'are', 'white', 'you', 'are', 'a', 'mudshark', 'skank', 'traitor', 'if', 'you', 'are', 'any', 'other', 'race', 'then', 'you', 'are', 'cheering', 'for', 'white', 'genocide', 'all', 'the', 'facts', 'i', 'stated', 'about', 'black', 'crime', 'your', 'poor', 'writing', 'skills', 'r', 'true', 'no', 'assumptions', 'here']",hatespeech,unanimous,"['African', 'Women']",['traitor'],"['white', 'white', 'race', 'white', 'black', 'crime', 'poor']",['traitor'],False,['black'],"['THREAT_VIOLENCE', 'CRIMINAL_DANGER']",STATEMENT,THREAT_VIOLENCE
23348141_gab,i love how niggers say affirmative action only works for white women and gay white men or everyone else except niggers this is why they will never advance beyond worthless in life i hope they all die from aids today i d be so happy,i love how niggers say affirmative action only works for white women and gay white men or everyone else except niggers this is why they will never advance beyond worthless in life i hope they all die from aids today i d be so happy,"['i', 'love', 'how', 'niggers', 'say', 'affirmative', 'action', 'only', 'works', 'for', 'white', 'women', 'and', 'gay', 'white', 'men', 'or', 'everyone', 'else', 'except', 'niggers', 'this', 'is', 'why', 'they', 'will', 'never', 'advance', 'beyond', 'worthless', 'in', 'life', 'i', 'hope', 'they', 'all', 'die', 'from', 'aids', 'today', 'i', 'd', 'be', 'so', 'happy']",hatespeech,unanimous,"['African', 'Homosexual', 'Women']",['worthless'],"['niggers', 'white', 'gay', 'white', 'niggers']",['worthless'],False,"['women', 'gay', 'niggers']",['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
16874612_gab,yeah that dumb nigger just took all the evil of the kikes and blamed the nazis for it and actually expected someone to believe it i would call him jidf but he is so stupid i can smell the nigger stench through my screen,yeah that dumb nigger just took all the evil of the kikes and blamed the nazis for it and actually expected someone to believe it i would call him jidf but he is so stupid i can smell the nigger stench through my screen,"['yeah', 'that', 'dumb', 'nigger', 'just', 'took', 'all', 'the', 'evil', 'of', 'the', 'kikes', 'and', 'blamed', 'the', 'nazis', 'for', 'it', 'and', 'actually', 'expected', 'someone', 'to', 'believe', 'it', 'i', 'would', 'call', 'him', 'jidf', 'but', 'he', 'is', 'so', 'stupid', 'i', 'can', 'smell', 'the', 'nigger', 'stench', 'through', 'my', 'screen']",hatespeech,unanimous,"['African', 'Jewish']","['evil', 'smell']","['dumb', 'nigger', 'kikes', 'stupid', 'nigger']","['evil', 'smell']",False,"['nigger', 'kikes']",['INTELLECTUAL_INFERIORITY'],STATEMENT,INTELLECTUAL_INFERIORITY
21611117_gab,just noticed that nigger has blonde hair ya see folks all of the shame and sins they put on whites is not about equality or fairness etc it is about controlling whites they hate whites they rub it in your faces,just noticed that nigger has blonde hair ya see folks all of the shame and sins they put on whites is not about equality or fairness etc it is about controlling whites they hate whites they rub it in your faces,"['just', 'noticed', 'that', 'nigger', 'has', 'blonde', 'hair', 'ya', 'see', 'folks', 'all', 'of', 'the', 'shame', 'and', 'sins', 'they', 'put', 'on', 'whites', 'is', 'not', 'about', 'equality', 'or', 'fairness', 'etc', 'it', 'is', 'about', 'controlling', 'whites', 'they', 'hate', 'whites', 'they', 'rub', 'it', 'in', 'your', 'faces']",hatespeech,unanimous,['African'],"['shame', 'hate']","['nigger', 'whites', 'whites', 'whites']","['shame', 'hate']",False,['nigger'],['CONSPIRACY'],STATEMENT,CONSPIRACY
18100788_gab,she not gonna love niggers that for sure if i ever saw that shit i would stomp that nigger to death,she not gonna love niggers that for sure if i ever saw that shit i would stomp that nigger to death,"['she', 'not', 'gonna', 'love', 'niggers', 'that', 'for', 'sure', 'if', 'i', 'ever', 'saw', 'that', 'shit', 'i', 'would', 'stomp', 'that', 'nigger', 'to', 'death']",hatespeech,unanimous,['African'],"['shit', 'death']","['niggers', 'shit', 'nigger']",['death'],False,"['niggers', 'nigger']",['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
15885342_gab,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,"['i', 'vote', '<number>', 'genocide', 'for', 'the', 'arab', 'and', 'nigger', 'scum', 'raping', 'our', 'women', 'killing', 'our', 'people', 'and', 'destroying', 'europe', 'also', 'include', 'the', 'traitors', 'who', 'support', 'the', 'destruction', 'of', 'our', 'people', 'and', 'our', 'ancestral', 'homelands', 'white', 'power']",hatespeech,unanimous,"['African', 'Arab', 'Islam']","['killing', 'destroying']","['nigger', 'scum', 'raping', 'killing', 'white', 'power']",['destroying'],False,"['arab', 'nigger']","['DEHUMANIZATION', 'THREAT_VIOLENCE', 'CONSPIRACY', 'SEXUAL_GENDERED']",STATEMENT,DEHUMANIZATION
1225279545055436805_twitter,females can be so pretty amp kill it by tryn too hard to be “ ghetto ” n “ hood ” when they really squares its a shame 🤦 \u200d ♀ ️,females can be so pretty amp kill it by tryn too hard to be “ ghetto ” n “ hood ” when they really squares its a shame 🤦 \u200d ♀ ️,"['females', 'can', 'be', 'so', 'pretty', 'amp', 'kill', 'it', 'by', 'tryn', 'too', 'hard', 'to', 'be', '“', 'ghetto', '”', 'n', '“', 'hood', '”', 'when', 'they', 'really', 'squares', 'its', 'a', 'shame', '🤦', '\\u200d', '♀', '️']",offensive,unanimous,"['African', 'Women']","['ghetto', 'hood', 'shame']","['kill', 'hard']","['ghetto', 'hood', 'shame']",False,['females'],['THREAT_VIOLENCE'],STATEMENT,THREAT_VIOLENCE
