post_id,text,speech_act
1254517888599429125_twitter,i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant,UNCLEAR
1193293522142547968_twitter,<user> i hate you,DIRECT_ADDRESS
24795919_gab,theresa may treason has no limit as she appoints sajid javid home sec in charge of uk security police immigration a moslem of pakistani origin civil war seems to be the only route,UNCLEAR
16299654_gab,have been suspended four times by twitter always when content said something re moslems but truth also seeing that second largest shareholder is a moslem prince alwaleed bin talal bin abdulaziz alsaud not surprising so have drifted into gab ai for a better time and no moslem appeasement hope,WISH_DESIRE
17913782_gab,hes a mohammaden just the same as every muslim in the world obeying the qur an,GROUP_STATEMENT
1179079220514832384_twitter,this weather for jadakiss dykes,SHORT_LABEL
27605417_gab,miss america shall embrace beer for beer makes fat women look beautiful,UNCLEAR
1145938479450337280_twitter,this movie is ghetto,SHORT_LABEL
1179102626207686657_twitter,<user> <user> <user> it was way better than sonoma if you remember your redneck jesus won the glenn also,DIRECT_ADDRESS
1177890061817397249_twitter,breona that my dyke 🤣,SHORT_LABEL
1099333093058584577_twitter,<user> rules are rules leave the ghetto at the door when you walk in,DIRECT_ADDRESS
1268081343096741891_twitter,<user> i wll bet in that <number> percent names in that list would be muslims,UNCLEAR
1223091900422316032_twitter,yall voted dyke shorts kyle lowry over derrick rose whoever voted for lowry should be ashamed,WISH_DESIRE
1179028034525028360_twitter,<user> <user> muslim have <number> muslim country why they not taking refugee from bangladesh in there country why muslim refugee just want to come in europe india and america,UNCLEAR
13280748_gab,they are planting evidence suggesting that europe was moslem land to make moslems feel more entitled and the native europeans feel more guilty therefore easier to submit and surrender to islam it psychological warfare,NARRATIVE
18012075_gab,the national health serivces of the uk making tax payers pay for insanity biological men who regard themselves as women are being invited for cervical smear tests – even though it is impossible for them to have a cervix – an official guidebook states,UNCLEAR
1232098262267678720_twitter,use coupon code “ holocaust denial ” for <number> odd at checkout,UNCLEAR
1232665780971376640_twitter,<user> muslims voted for <user> bjp team b and got the government they deserve,WISH_DESIRE
1278979776460578816_twitter,good morning to all the <number> ’ <number> <number> ’ <number> women,GROUP_STATEMENT
1178690890258243589_twitter,<user> why d they all isra a muzzie,GROUP_STATEMENT
1077719367524052997_twitter,it ’ kind of islamaphobic that everything is closed today,UNCLEAR
1178691252402806784_twitter,<user> <user> ching chong ching,SHORT_LABEL
21515474_gab,theresa may wants to remain in the eu attacking russia attacking america by arresting brittany two huge deals could now be in jeopardy i hope the russians or the arabs get may,UNCLEAR
1179011774403756032_twitter,the dyke wants her kpop boy,SHORT_LABEL
1146148844742369281_twitter,<user> i just seen u say u want a neck tat but a portrait ghetto alright young m a,UNCLEAR
23043331_gab,if trump needs a man to run operation wetback again i am available,UNCLEAR
23238279_gab,brighton is a ghetto and needs the acts of winnie mandela justice has been pronounced,UNCLEAR
22806498_gab,i have just escaped the fb ghetto and am in search of normal trump2020 patriot followme,UNCLEAR
7599031_gab,bampumim teixeira an immigrant from west africa,UNCLEAR
1089320840620134400_twitter,<user> i hate you,DIRECT_ADDRESS
7182358_gab,that probably what muslim women think it all about trust,GROUP_STATEMENT
1229859716110716928_twitter,need a sim card asap dis getting ghetto,UNCLEAR
10731956_gab,lol gtfo of here with holocaust denial this place is amazing,MOCKERY_SARCASM
17356759_gab,the one thing the internet is liable to grant most easily is swift passage to backwater ghetto echo chamber status that is alt tech tech safely sequestered from the universal public square,GROUP_STATEMENT
1189486679595204608_twitter,every women i have been with was inserted in my life to teach me something it seems,GROUP_STATEMENT
1116574232626913281_twitter,<user> let ’ donate to a worthy cause like a legal immigrant who supports <user>,UNCLEAR
1178344462814076928_twitter,<user> lmao im finna b a dyke <number>,MOCKERY_SARCASM
5378469_gab,i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch dyke pm caveat emptor,DIRECT_ADDRESS
1186666169522147330_twitter,i hate ghetto names 😭,SHORT_LABEL
1178803711973437441_twitter,oomfs you have <number> hours to unfollow <user> he called me a dyke i am literally shaking right now,DIRECT_ADDRESS
10840187_gab,have you ever met a muslim for real have you lived in a islamised area,DIRECT_ADDRESS
1204096845514981384_twitter,<user> i hate you,DIRECT_ADDRESS
6990776_gab,i recently met a retired federal leo who signed up to be a host for syrian refugees with air b& b 🤔,UNCLEAR
