post_id,text,annotator_labels,surface_cue,token_length
17398393_gab,your idea of compassion is allowing kate steinle killer go free that not compassion it a mental illness let be compassionate to the legal citizens of this country stop funding illegal immigrants stop encouraging lawlessness and build that fucking wall maga gabfam news,"[1, 0, 1]",Strong (Profanity),43
1178422453749604364_twitter,blow a stack for yo niggas with yo trapping ass,"[1, 1, 2]",Strong (Profanity),10
1178491915894956033_twitter,they playing a lot of ethnic music at this white ass wedding,"[2, 1, 1]",Strong (Profanity),12
12329944_gab,would be hilarious if the un building was turned into homeless shelter or hell why not a refugee center,"[2, 1, 1]",Strong (Profanity),19
3686020_gab,you know what sicker if even possible than that happened to the white kid kidnapped in chicago is that some sick fucking people see it for anything else than what it fucking is a brutal unacceptable hate crime fuck you people like don t lemon worst reporter in cnn in <number>,"[1, 2, 1]",Strong (Profanity),51
1191806356191186944_twitter,btw can i just say voting in washington is a fucking dream every state should do this,"[2, 1, 1]",Strong (Profanity),17
15611789_gab,well it sleeping beauty they plan to rewrite first cause she never gave consent to be kissed by the prince the left are seriously fucked in the head and if the bbc show it i am sure she will be a black moslem like thor was,"[1, 1, 2]",Strong (Profanity),46
13501213_gab,again why are you so defensive about it is some nazi gonna come in and call you a name so what i have been called nigger more times than i can count,"[1, 1, 2]",Strong (Profanity),32
27357442_gab,so my iphone still thinks fuck is duck but it auto corrects hufflepuff with no issue <number> is gay af,"[1, 1, 2]",Strong (Profanity),20
1179087798931877888_twitter,wishing the happiest birthday to my favorite crackhead <user> love u bitch,"[1, 1, 2]",Strong (Profanity),12
1178154068545593345_twitter,<user> idubbz says nigger faggot all the time but no one actually gives him shit for it lol people are stupid as fuck,"[1, 1, 2]",Strong (Profanity),23
1179104812157276162_twitter,do not blow your horn at me cuz you can not drive bitch,"[1, 1, 2]",Strong (Profanity),13
1179077914299715584_twitter,<user> <user> how many die every day especially the weekends in chicago douche and your crying about el paso if someone carried the death count would have been lower like dayton moron sheep for women i would not vote for one feminazi not one,"[1, 2, 1]",Strong (Profanity),44
1233736075065069568_twitter,<user> ❝ i hate you so fucking much max you better not talk about this with anyone ❞,"[1, 0, 1]",Strong (Profanity),18
1105345640412798976_twitter,<user> these hoes ain t shit bro u cute as hell,"[2, 1, 1]",Strong (Profanity),11
1108098060138229761_twitter,<user> he is not a news anchor he is a suck up to d trump maybe even secret gay lovers,"[1, 1, 2]",Strong (Profanity),20
10603695_gab,far left and far right will eventually embrace violence and mutually destroy one another possibly leaving the path clear for a truly sustainable egalitarian society you are all being played so goddamn hard it hilarious,"[1, 2, 1]",Strong (Profanity),35
1179052904642166784_twitter,put pressure on a nigga he gone run to a weak bitch everytime ‼️ 🤮,"[1, 1, 2]",Strong (Profanity),15
14973902_gab,twitter is going to get bought out then i could really careless what happens to that liberal of a retard company i just want my buy out money and im happy twtr,"[2, 1, 1]",Strong (Profanity),32
1083000787830095873_twitter,<user> your such an ass 😂 i ’ m damn near retarded 🤦 🏻 ‍ ♂ ️ i love you 🤣 🥰,"[2, 1, 1]",Strong (Profanity),22
26592380_gab,of course i just wanted to grammar nazi myself i am feeling mildly retarded today,"[1, 2, 1]",Strong (Profanity),15
1117879411951357952_twitter,get a load of that nigger,"[0, 1, 1]",Strong (Profanity),6
1178716113359605760_twitter,<user> modi is the pm of whole of india he went to chennai and fucked all niggers all you could do was tweet gobackmodi,"[1, 1, 0]",Strong (Profanity),24
1237875748246917120_twitter,<user> <user> i ain ’ t from br and i know this bitch word for word 😂,"[1, 1, 2]",Strong (Profanity),17
25725788_gab,mike enoch got his ass handed to him by a kid yid today his debate performances are worse than his work out routine,"[1, 1, 2]",Strong (Profanity),23
1179101018811965441_twitter,<user> <user> <user> <user> they never said this help would include being ass raped by jimmy savile while the matrons watch -.-,"[2, 1, 1]",Strong (Profanity),22
27661233_gab,the left migrant children will undergo irreparable harm if they are separated from their mother or father also the left the nuclear family is outdated and in the event of divorce children should probably never see their dads also fag and dyke families are perfectly okay,"[1, 1, 2]",Strong (Profanity),46
22986133_gab,nope no evidence whatsoever it retarded horseshit,"[1, 1, 2]",Strong (Profanity),7
25262796_gab,let me apologize to those fine folks who followed me i just got busy with work have not had time to focus on gab i am a little retarded like that single minded if you will when time allows i will find some folks to follow become more active,"[2, 1, 1]",Strong (Profanity),49
1178580783054950400_twitter,<user> <user> most of their jokes revolve around the concept of finding new ways to detail a fictitious account of each others mother prostitute life who is a faggot and who is weak if he not willing to join in,"[1, 1, 0]",Strong (Profanity),40
9132750_gab,and do not get me wrong either i only have a few muted i did not enjoy another clown telling me that sharia was the only way and women should submit or die i do not have time for that shit especially with a household full of ladies including the cat,"[1, 1, 2]",Strong (Profanity),51
18605730_gab,<user> loving the new season of your show when you said go be a nigger somewhere else i laughed so hard people at work wanted to know what was funny keep it up and god speed,"[1, 1, 0]",Strong (Profanity),36
1179014625247019010_twitter,you all be wanting a real bitch then do not know what to do wit her ✌ 🏽,"[2, 1, 1]",Strong (Profanity),18
1178495840912056320_twitter,of course his white ass dropped it,"[1, 1, 2]",Strong (Profanity),7
1179103811572510720_twitter,can put your money on the retard commentator saying after <number> seconds west brom have made a better start than they did in this fixture last season,"[2, 1, 1]",Strong (Profanity),27
1244719373606170629_twitter,i don ’ t like any bitch that says he him lesbians aren ’ t valid,"[1, 1, 0]",Strong (Profanity),16
17428728_gab,it would really break my heart to see that nigger come out of the hospital with a vicious staph infection,"[1, 1, 0]",Strong (Profanity),20
1144768591599792128_twitter,so tired of all this gay shit,"[1, 2, 1]",Strong (Profanity),7
24033949_gab,it hasnt done naz shah vile muslim mp any harm for liking a tweet telling raped white children by paki muslins to keep their mouths shut for diversity has it fucking paedophile labour party,"[1, 1, 2]",Strong (Profanity),34
22566152_gab,yes yes i know i know a hell of a lot about islam and the way it works khoebaha does not come across as a jihadist you however do mr porcupine,"[1, 1, 2]",Strong (Profanity),31
1179097576966107137_twitter,<user> ha this coming from a two time loser not to mention that she one of the if not the most corrupt person politician the usa has ever had she fails to mention that her popular win were from the illegal alien votes,"[2, 1, 1]",Strong (Profanity),43
1178771669336416256_twitter,top quotes from tonight include <user> saying they are a slytherin and proud because they are fucking queer 🐍 also gryffindor is so heteronormative and basic it for people who have the personality of bread and courage 🍞 🦁 bam ein publishing <user>,"[2, 1, 1]",Strong (Profanity),43
10593080_gab,he is using a flat projection map to prove that shortest distance would not go through alaska on a globe he then saying it fine in un style map un style map actually makes northern hemisphere similar to globe map southern hemisphere is absolutely retarded on un map though,"[1, 1, 2]",Strong (Profanity),49
1178998650271408128_twitter,too angry <number> b retarded 2 day,"[1, 1, 2]",Strong (Profanity),7
1216128856647663616_twitter,i love ari fuck a hoe 😝,"[1, 2, 1]",Strong (Profanity),7
3680355_gab,two terms of that shit in the white house <user>,"[1, 2, 1]",Strong (Profanity),10
11900586_gab,stop running around like a little bitch,"[1, 2, 1]",Strong (Profanity),7
1178320297264652288_twitter,you son of a bitch i am gonna log onto your twitter and tell everyone what you said,"[2, 1, 1]",Strong (Profanity),18
9355931_gab,my best friend constantly whines about how i got the ghetto booty and the white skin and some how she got the white ass and the dark skin we are an amusing pair,"[1, 1, 2]",Strong (Profanity),33
7344094_gab,eth · nic cleans · ing ˈethnik klenzing noun the mass expulsion or killing of members of an unwanted ethnic or religious group in a society i think you are the retarded one fake victim table go 👉 🏻,"[2, 1, 1]",Strong (Profanity),39
1178374131898818561_twitter,if you are a white lady who ready to call me a nigger but in a loving way hit me up ❤️,"[1, 2, 1]",Strong (Profanity),22
1255658624149487622_twitter,lol <number> for a desk and <number> for shipping please fuck off i hate you,"[1, 1, 0]",Strong (Profanity),15
12646112_gab,did not a nigger just shoot up a white church just wondering because i have not seen any politicians or media people screaming for any all to disavow black supremacy,"[1, 0, 1]",Strong (Profanity),30
1107152949250265088_twitter,all these nazis b on my d yo i gotta b in reality suck a d if you doubted me,"[1, 1, 2]",Strong (Profanity),20
1247303149490233345_twitter,is our president mentally retarded,"[2, 1, 1]",Strong (Profanity),5
13149776_gab,palestine is real it part of syria palestia the name the romans gave it after they struck down a jewish insurrection in the first century ad it was originally called judea but it sure as shit ain t no raghead country or even a country at all,"[2, 1, 1]",Strong (Profanity),47
15089070_gab,looks homey niggers like to call us cavebeasts we were smart enough to get out of the rain keep a fire going to put our backs to walls and store stuff as opposed to capering tree to tree eating rotten fruit like feckless nigger monkeys storing surplus gave rise to agriculture,"[1, 1, 0]",Strong (Profanity),51
1076269596821409792_twitter,me mm i have to like pee mom bitch you always have to pee when we go somewhere me wtf you so loud for 🤣,"[1, 1, 2]",Strong (Profanity),25
1178774283503505412_twitter,r they actually retarded,"[1, 1, 2]",Strong (Profanity),4
1164711852800012288_twitter,i hate comin to mfkn newark these asians can ’ t fuccin drive for shit,"[1, 1, 2]",Strong (Profanity),15
17335154_gab,i would not laugh too hard you are a nigger too <happy>,"[0, 1, 1]",Strong (Profanity),12
1090049542194573312_twitter,put some cake onna nigga head,"[1, 1, 2]",Strong (Profanity),6
6095990_gab,so true the music i posted tonight is mostly pro white and non jewish maybe zombie is some what not it was released by a jewish owned studio but it is not full of degenerate crap like most,"[0, 1, 1]",Strong (Profanity),38
23253693_gab,no shit but if you do not think blacks and mexicans and white supremacists do not get into fights you are naive and have no clue,"[1, 1, 2]",Strong (Profanity),26
1110273981171621889_twitter,tbh the only dm i have not muted is bc girl that bitch is cute <user>,"[2, 1, 1]",Strong (Profanity),16
1177963521214054401_twitter,can faggot stop being a derogatory term for gays and start being a derogatory term for just terrible men in general because i really like the word and honestly i have known a lot of faggots in my life and they were not homosexuals,"[1, 1, 2]",Strong (Profanity),44
1178242529927614464_twitter,imagine thinking that <user> is a homophobe because he said faggot once lmao could not be me,"[1, 0, 1]",Strong (Profanity),17
1089941857667293184_twitter,no really would this retarded oaf that claims to be my father just hurry up and have a heart attack ¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿,"[1, 2, 1]",Strong (Profanity),28
22626521_gab,shes hoping some bluegum will rape her dried up old liberal ass,"[1, 0, 1]",Strong (Profanity),12
24754249_gab,i liked the poor whites left behind angle of twp but who d give a shit about blacks in that situation why are not they seeking out opportunities elsewhere,"[1, 1, 0]",Strong (Profanity),29
4788900_gab,their side blacks muslims lesbians tweety birds college profs africa journalists scientist the bitchy gay guys meryl streep and nfl that right goddell u fuck rino mccain and democrats pizza and hotdogs,"[1, 1, 2]",Strong (Profanity),32
1179104530706960384_twitter,i am not saying nigger because i am racist i am saying it to take a stand against pc and fight for freedom of speech white dude comedians,"[0, 1, 1]",Strong (Profanity),28
1178831186296094723_twitter,<user> <user> drag this nigger for filth honey,"[1, 0, 1]",Strong (Profanity),8
16407424_gab,want to know the real bubble the usd under the fed we will remove the nigger fed,"[1, 1, 0]",Strong (Profanity),17
11834439_gab,do not need to bitch about them because they did not support trump and just like karl rove they are now part of the stale old right rino hunting season underway soros still lives if you think koch have more political influence than soros you are either naive or being intellectually dishonest,"[1, 2, 1]",Strong (Profanity),52
23950465_gab,winner winner chicken dinner and do not forget that cia nigger malcolm nance on msnbc,"[0, 1, 1]",Strong (Profanity),15
1178488599001604098_twitter,young hennessy bitch can not versace niggers,"[0, 1, 1]",Strong (Profanity),7
22005487_gab,so i got called a nappy headed nigger jew 🤣 🤣 🤣,"[1, 0, 1]",Strong (Profanity),12
1178792663744679936_twitter,this white bitch with an excuse of curly hair just said half the girls i meet with my texture of hair are black oh my god i am gonna punch this dumb fuck,"[1, 1, 2]",Strong (Profanity),33
5362935_gab,i bet if it were white french people in the streets of paris being racist or homophobic instead of crimmigrants rioting we d find out just how damn tough those french police really are,"[1, 1, 0]",Strong (Profanity),34
3858576_gab,george clooney goes full retard and blasts trump for bashing meryl streep are not you supposed to be running the country obama is still president not trump,"[1, 1, 2]",Strong (Profanity),27
18393091_gab,i remember being taken to washington dc holocaust museum on church field trips at around <number> or <number> reminiscent of an old garage sale with haunted house undertones luckily like most youth i did not give a fuck about the message they were trying to imprint,"[1, 2, 1]",Strong (Profanity),46
1109996926412288000_twitter,my dad a weird ass bitch,"[1, 1, 2]",Strong (Profanity),6
1178124477856546816_twitter,this mf on this movie just said what do we call her the lezbo the gay girl the dyke mother fucker how bout her name,"[0, 1, 1]",Strong (Profanity),25
22668821_gab,joins a hostile social media service and spams retarded posts by the thousands and calls others mentally ill,"[1, 1, 2]",Strong (Profanity),18
1178815750687076352_twitter,my homie medicine hoe no versace this nigger,"[1, 0, 1]",Strong (Profanity),8
20470697_gab,i am a sand nigger and that shit made me fucking laugh,"[0, 1, 1]",Strong (Profanity),12
1171909840496746496_twitter,<user> try me u bitch,"[1, 2, 1]",Strong (Profanity),5
1179071827571818501_twitter,<user> i am reminded of the end to the f the police song the jury has found you guilty of being a redneck white bread chickens hit motherfucker,"[0, 1, 1]",Strong (Profanity),28
1178542300449787905_twitter,because everytime i do niggas ask if i am a faggot and there this gay nigga that been trynna hit on me and i do not wanna be rude to him so when someone asks if i am a faggot i can set the record straight and he will leave me alone,"[2, 1, 1]",Strong (Profanity),52
1175096935327440901_twitter,i used to let so much shit stress me out how ghetto,"[2, 1, 1]",Strong (Profanity),12
1082141802763702272_twitter,mental abuse is no joke i am out of this bitch,"[2, 1, 1]",Strong (Profanity),11
1178141043105120257_twitter,<user> do i look like a faggot basher to you you stupid fucking human boy you have got a mouth,"[1, 1, 2]",Strong (Profanity),20
1082785825585274881_twitter,tenho <number> inscritos no meu canal do not touch me bitch i am famous,"[2, 1, 1]",Strong (Profanity),14
23703599_gab,mueller is not retarded or incompetent he is just very slow at finding the evidence that was never there in the beginning next he needs to look on the moon and the craters of mars,"[2, 1, 1]",Strong (Profanity),35
1239983100802871299_twitter,i fucking hate you you used my emotions and shit and hurt me so badly 😭 💔,"[1, 2, 1]",Strong (Profanity),17
1179054822462574592_twitter,oprah was like roseanne was most viewed show on the network and grossed in so much money and bob was basically like man fuck that shit it ain t nothing to cut that bitch off,"[2, 1, 1]",Strong (Profanity),35
22806321_gab,donald trump is a russian agent who is going to undermine our democracy only the government should have guns the left is fucking retarded,"[1, 0, 1]",Strong (Profanity),24
1178928675137478656_twitter,<user> <user> funny if i say something about a civil war twitter block me and now this white shit trump say something about a civil war twitter do not block him 😂 😂 😂 😂 😂 😂 i do hope for a civil war kill all the people from twitter first,"[1, 0, 1]",Strong (Profanity),51
3008822_gab,<user> not all arabs if you are too stupid to realize that islam and its adherents are what you are describing i can not help ya,"[1, 2, 1]",Strong (Profanity),26
12732355_gab,fucking hell man yes i know a tall chinaman too why must everyone think anecdotes trump statistics you people are going to kill us all,"[1, 1, 2]",Strong (Profanity),25
22803798_gab,i will identify the culprit based on your last post the white nationalists are to blame for the white genocide in south africa get all over that shit,"[2, 1, 1]",Strong (Profanity),28
1083870882487910400_twitter,in case you didnt know i fucking hate logan paul he clearly didn ’ t learn anything after the shitshow from last year,"[2, 1, 1]",Strong (Profanity),23
11561381_gab,in the past hour i have seen two leftists make two remarkably stupid claims anyone with access to google and five minutes could debunk a that houston is full of nazis so they deserve the storm b the level of violence nazis committed in the 2 0 th century was unprecedented,"[1, 2, 1]",Strong (Profanity),51
1220452_gab,the features gab has are leagues beyond twitter basic filter list alone solve many problems that sjws on twitter bitch about yet knowing them they d refuse to use them,"[1, 1, 2]",Strong (Profanity),30
1164149841225834496_twitter,im so horny looking for someone who can help me to cum horny sexe milf sexy cumtribute domina gay bisexual littledick cock hot,"[2, 1, 1]",Strong (Profanity),23
1178303521592135680_twitter,you all want comedians to keep their edge and stay unfiltered because you all are not the demographic they are talking shit about it just the lgbt community if a white comedian was calling you all monkeys and niggers you all would have a fit cut it out,"[1, 1, 2]",Strong (Profanity),48
1094474109306761216_twitter,idk why they do solo cups stick to duos only solos are literally retarded,"[1, 1, 2]",Strong (Profanity),14
22984646_gab,i have never really cared for <user> ‍ but i <number> disavow the doxxing of him you can laugh at him call him a retard for being wrong about everything make fun of his stuttering etc but the second you dox someone you cross a serious line,"[1, 2, 1]",Strong (Profanity),47
27977502_gab,no that the little bitch batman ride this is vader daily driver when i am not cruising the galaxy in my tie fighter,"[1, 2, 1]",Strong (Profanity),23
1178490839552712704_twitter,<user> but yeah fuck them white devils,"[2, 1, 1]",Strong (Profanity),7
23291412_gab,a memo is not an order its no better then a fucking official tweet its posturing no new applicants accepted so hes not deporting the people who are already here which is millions again a thumb in the dyke but not a new dyke,"[1, 1, 0]",Strong (Profanity),44
1087465221797470208_twitter,i love retarded people no cap,"[1, 1, 2]",Strong (Profanity),6
1170171335043112960_twitter,<user> it funny because he full of shit how do you get raped in a train station that doesnt even fucking exist at the time,"[2, 1, 1]",Strong (Profanity),25
1208467574499004417_twitter,is this a fucking wind up,"[1, 1, 2]",Strong (Profanity),6
1178759437550522370_twitter,wait just figured out the white dude called him a nigger fuck him,"[1, 1, 2]",Strong (Profanity),13
1179091423758553089_twitter,<user> <user> you are right it does not have to todd phillips can make the hangover <number> and have a white guy do a ching chong wing wong impersonation if he wants and we all have the right to say it fuckin sucks what a world,"[2, 1, 1]",Strong (Profanity),46
15735763_gab,oh damn august ames actually killed herself str8upgayporn has a lot to answer for i mean if eichenwald can sue for a seizure ames family should be able to sue for harassment leading to suicide,"[1, 1, 2]",Strong (Profanity),35
1187802297436442626_twitter,that nigga kawhi is nice bruh,"[1, 1, 2]",Strong (Profanity),6
1077382861567729665_twitter,there ’ no place like home cause home is where the bad bitch lives aka me,"[1, 2, 1]",Strong (Profanity),16
1179096456986271744_twitter,when my big unc come back im snitchin tired of this retarded ass boi 🤦 🏽 ‍ ♀️,"[1, 1, 2]",Strong (Profanity),18
4949978_gab,speakfreely gabfam hey ladies i want all of us to be safe we are surrounded by fucking nut jobs being able to protect ourselves is important get a gun learn krav maga learn how to escape being attacked carry batteries in a sock learned that from ghetto girls be safe,"[2, 1, 1]",Strong (Profanity),50
18535043_gab,<user> ‍ <user> ‍ oh shit jews in charge of this too conspiracy,"[1, 1, 2]",Strong (Profanity),13
10722961_gab,free speech my ass it was terrorism and the incitement of violence say it name radicalwhiteterrorism,"[1, 2, 1]",Strong (Profanity),16
19567652_gab,<user> ‍ that why there no openly fag dykes up there they know that the locals do not want em the local leo dgaf either from what i hear,"[1, 0, 1]",Strong (Profanity),29
1178949767080169473_twitter,i am a dyke i am a whore i am me ❤️,"[1, 2, 1]",Strong (Profanity),12
1175430580038582278_twitter,i respect any nigga getting to it idc how you make your money my gee just feed them babies,"[2, 1, 1]",Strong (Profanity),19
15972676_gab,nobody is actually required to work or live in nyc i am not saying they are required to leave but if they do not then they are accepting that they are living in a retarded place that encourages terrorism so now we are back to nobody caring what happens there it not about feelings,"[2, 1, 1]",Strong (Profanity),54
1177730111719854080_twitter,this quarterback is shitting his pants who is this nigger du kvs vt,"[1, 0, 1]",Strong (Profanity),13
1178862532087439360_twitter,<user> <user> he an asshole he blocked me once for simply congratulating him on his promotion to top ranking white house nazi after bannon got canned,"[1, 1, 2]",Strong (Profanity),26
23923846_gab,fucking twitter done with that faggot dorsey,"[2, 1, 1]",Strong (Profanity),7
1094874080665313280_twitter,im really a pretty bitch,"[2, 1, 1]",Strong (Profanity),5
1186910303159816192_twitter,running from his bitch he gon come when i call,"[1, 2, 1]",Strong (Profanity),10
1178766324614479874_twitter,i do not even wanna be a faggot anymore queer eye ruined it for us all,"[1, 0, 1]",Strong (Profanity),16
1178817883595558912_twitter,<user> well fuck you too hoe,"[1, 2, 1]",Strong (Profanity),6
1180113778303737856_twitter,im such a slut for hot weather,"[1, 2, 1]",Strong (Profanity),7
16404357_gab,baloney they do not need our men and women they have their own brave soldiers and the women are as tough as the men don t piss them off,"[2, 1, 1]",Strong (Profanity),29
1176887518857330690_twitter,what medic is a dilf a feral scientist a brick shithouse a magnificent bastard father of <number> doves what medic is not a nazi,"[1, 1, 2]",Strong (Profanity),24
1229665905711312896_twitter,<user> we are all byeongkwan bitch,"[1, 2, 1]",Strong (Profanity),6
1104167984707371008_twitter,<user> girl yes lmfao people get on my nerves i know yo ass ready to use that ghetto gif,"[2, 1, 1]",Strong (Profanity),19
