post_id,text,surface_cue,token_length
1178226486081286144_twitter,<user> <user> i witnessed my black teammates defend and agree with my overtly racist white friend for calling a black dude a nigger i tried to defend dude being called nigger and they all hated on me,Strong (Profanity),37
1177943113794502657_twitter,<user> it not like i am called a faggot due to my long hair and feminine tendencies a lot but hey being a tall white woman is hard as fuck amiright,Strong (Profanity),31
1118118013327355904_twitter,whoever posts the fucking spoilers for endgame is catching these fucking hands,Strong (Profanity),12
1179073627456774145_twitter,the white bitch amber guyger has been locked away,Strong (Profanity),9
1179098553320386560_twitter,black ppl who went to all white schools become annoying ass adults 😂 😂 😂 😂,Strong (Profanity),16
1178782818715000833_twitter,<user> <user> i gotta go right there just something about white ass cheeks that drives me crazy,Strong (Profanity),17
1178700179257614337_twitter,still the same nigga i am evolving doe,Strong (Profanity),8
1096132147054854144_twitter,they either pick the gimmick light skin bitch or the white boy to profit off of and it never works,Strong (Profanity),20
36GJS3V78VR66OSFZSCICZHGQ9YGJ9_nf_2,me saying that i will partake in inktober is a fucking lie i do not have the time focus or energy sometimes so i will doodle some bullshit and maybe make them into full drawings,Strong (Profanity),35
1165033237149814789_twitter,that nigga ynw melly never getting released,Strong (Profanity),7
1217605408329592832_twitter,as long as you gettin money yo bitch don ’ t care if you don ’ t go out,Strong (Profanity),19
1179086075366526976_twitter,this is a fucking wild night this is why i hate having adrenaline rushes haldhladslas,Strong (Profanity),15
21593945_gab,four moslem mp have been sent suspicious packages their acting like its something to worry about they need to chill out its just parcel parcel of life in a multicultural shit hole i am sure mayor khan would agree inshallah,Strong (Profanity),40
1178733769806798848_twitter,i am still tryna see what hood a nigga false claim,Strong (Profanity),11
1187943154714075141_twitter,everybody criticize lebron as if they can do w this nigga has done for the last <number> yrs lol,Strong (Profanity),19
1165052589660147717_twitter,my friend saying that suicide squad is better than avengers and i was like bitch say it again i triple dare you,Strong (Profanity),22
1179095548453883906_twitter,watching unbelievable netflix the rapist has a copy of the ethical slut unbelievable,Strong (Profanity),13
1103507021104525313_twitter,newsom wants the train now he does not newsom wants the train now he does not the guy is a fucking quack who would vote him in,Strong (Profanity),27
1179090454454951936_twitter,real madrid is a fucking joke bro 😂,Strong (Profanity),8
1179079184775335936_twitter,<user> yeah cuz incel violence is a fucking epidemic and movies cause violence this joker outrage is just stupid it only a movie chill,Strong (Profanity),24
1095377826625183744_twitter,<user> you gotta watch ‘ return to paradise ’ with joakin phoenix that shit will have you never doing illegal shit in other countries,Strong (Profanity),24
1179096561416060928_twitter,<user> fuck off then language of the streets where i am from it also got you too notice a no pc bullshit here lady children being raped and you dare say about language exactly why not enough being done too busy pissing about with your niceties,Strong (Profanity),46
1118264738478198784_twitter,homies get in the gloves when they settling some shit with each other why can not women 🤔,Strong (Profanity),18
1200173657605263360_twitter,that cranberry bullshit is just some ghetto jello,Strong (Profanity),8
1179096305911513088_twitter,you might just think i am a dumb slut but i will have you know i am actually an intellectual slut,Strong (Profanity),21
1178177146910629888_twitter,flashback to the heyday of souls fandom and online content unsubscribing from a souls content creator like every week because they could not stop themselves from slipping a faggot or retarded into a video as a funny haha,Strong (Profanity),38
1178349554908958726_twitter,i knew i was fucked up last night when i saw those black party buses full of white kids pull up to lion and said ah shit the colonizers are here,Strong (Profanity),31
1187113823397920768_twitter,hottest picture ever red and white bathing suit free dick pictures boobs clips bra panty photo,Strong (Profanity),16
1178772817950543872_twitter,i do not think my bf knew what he was getting in a relationship with cause i will shoot his white ass if he keep leaving me on read,Strong (Profanity),29
1179101615292370949_twitter,<user> run that doctor faggot joke back now though,Strong (Profanity),9
1170181103577182211_twitter,i am not obligated to date a broke nigga mfs try to make you feel bad for having standards,Strong (Profanity),19
1179100563687886848_twitter,<user> hahahahaha i fucking hate you 😂 😂 😂 😂 😂 💀 💀 💀,Strong (Profanity),14
1179084295748620288_twitter,do the democrats still give a crap about illegal aliens the wall racism white supremacy child trafficking drugs guns hookers what else was there oh yeah fake whistleblower now 😂 😂 😂,Strong (Profanity),32
1178760494364200960_twitter,<user> <user> another hoax against caucasians • is this crap that keeps happening to white folks our white privilege that we keep hearing about,Strong (Profanity),24
1165322295969107969_twitter,you all are sophomores in high school now why aos you wanna bring shit up and charge her scheme ass little girl,Strong (Profanity),22
1185054134929514497_twitter,on god some of you niggas need to be euthanized and hung no cap straight fucking incels,Strong (Profanity),17
1178729776057589761_twitter,a nigga really raped ody that shit is really irking my shit,Strong (Profanity),12
1122976103700656128_twitter,you ask niggas to be your peace and they end up being your piece of shit 😂 ✌ 🏽 june 29 wet it up pool party,Strong (Profanity),26
1121935530403467267_twitter,she single cuz she can not find a nigga worth her time ✍ 🏼,Strong (Profanity),14
1170198681892474880_twitter,chop stick with the wood send a nigga to jesus,Strong (Profanity),10
1179080044603420672_twitter,i fucking hate when my packages are delivered by fedex just leave them in the fucking front goddamit i paid for <number> day shipping at <user> for these dumb asses to not deliver my package bc nobody is there ups would never,Strong (Profanity),42
1178855657979699200_twitter,<user> deadass italians from sicily refuse to claim whiteness because like apparently in the 1 6 0 0 there were africans on the island i am not fucking kidding i have had this exact convo w multiple italians who all say the same thing and for some reason refuse to identify as white,Strong (Profanity),53
1178942716459151360_twitter,<user> i can not decide darlifra is a fucking conservative nightmare but cross ange makes a rape victim apologize for being raped among many egregious offenses it like choosing between burning at the stake and being caught in a volcanic explosion,Strong (Profanity),41
1179056757168955392_twitter,<user> the bad bitch life is not for everyone,Strong (Profanity),9
1179010739945656320_twitter,<user> some white ass names,Strong (Profanity),5
1109097491482460161_twitter,they have no water no food but breed exponentially the human race is fucking retarded world water day,Strong (Profanity),18
1179062057049690113_twitter,too many of us dying for no reason that shit could ve been prevented she was a trigger happy ass white bitch,Strong (Profanity),22
1179088766624878592_twitter,<user> btw i need numbers people all my friends left my fat white ass,Strong (Profanity),14
1178382939085778944_twitter,some white ppl called me a stupid nigger last night,Strong (Profanity),10
15217969_gab,karma is a bitch,Strong (Profanity),4
1179097718989475843_twitter,ugh time to be a pumpkin slut,Strong (Profanity),7
1094758797673938944_twitter,<user> i ’ m not playing he ghetto as shit 😂 then why around there 💀,Strong (Profanity),16
1178752480768925696_twitter,<user> remorseful my lilly white ass 😡 😡 😡 👌 👌 👌 👌 👌 👌 👌 👌 👌 👌 👌 👌 👌,Strong (Profanity),22
1109138692126453760_twitter,i tell all my hoes rake it up break it down back it up fuck it up fuck it up,Strong (Profanity),20
1178742493418020865_twitter,i want to put on makeup wear a skirt and sing along to songs acting like i am a fucking queer rockstar,Strong (Profanity),22
1179102676392562689_twitter,bro twitch is so retarded imagine banninf someone cus they broke a keyboard and labeling it as self harm bunch of fucking 🤡 work at twich bruh,Strong (Profanity),27
1221415676168065025_twitter,<user> no but someone got silk touch and placed one diamond block at level <number> to troll them haha retard,Strong (Profanity),20
1179101154531299328_twitter,0 u0 lmao wow fuck you too 😂 😂,Strong (Profanity),9
1139143438539137024_twitter,punches my small gay ass,Strong (Profanity),5
15615762_gab,these two self serving pieces of crap are okay with possibly destroying a person livelihood who only being true to his religious beliefs who gave queers the moral high ground sick of this libtard lgbtq hypocrisy,Strong (Profanity),36
1178841814255767553_twitter,<user> i will drive my white ass down to dallas from new york and stand right there with you justice botham jean amber guyger murder trial life in prison,Strong (Profanity),29
