post_id,text,token_length,framing_count,DEHUMANIZATION,THREAT_VIOLENCE,EXCLUSION,CONSPIRACY,MORAL_DISGUST,INTELLECTUAL_INFERIORITY,SEXUAL_GENDERED,CRIMINAL_DANGER,ECONOMIC_BURDEN,RELIGIOUS,GENERALIZATION
27605417_gab,miss america shall embrace beer for beer makes fat women look beautiful,12,0,False,False,False,False,False,False,False,False,False,False,False
18012075_gab,the national health serivces of the uk making tax payers pay for insanity biological men who regard themselves as women are being invited for cervical smear tests – even though it is impossible for them to have a cervix – an official guidebook states,44,1,False,False,False,False,False,False,False,False,True,False,False
1232098262267678720_twitter,use coupon code “ holocaust denial ” for <number> odd at checkout,12,0,False,False,False,False,False,False,False,False,False,False,False
1278979776460578816_twitter,good morning to all the <number> ’ <number> <number> ’ <number> women,12,0,False,False,False,False,False,False,False,False,False,False,False
21515474_gab,theresa may wants to remain in the eu attacking russia attacking america by arresting brittany two huge deals could now be in jeopardy i hope the russians or the arabs get may,32,0,False,False,False,False,False,False,False,False,False,False,False
10731956_gab,lol gtfo of here with holocaust denial this place is amazing,11,0,False,False,False,False,False,False,False,False,False,False,False
1189486679595204608_twitter,every women i have been with was inserted in my life to teach me something it seems,17,0,False,False,False,False,False,False,False,False,False,False,False
15894296_gab,randomthought in my very early <number> i had a realization that broke my heart the realization was that no matter how long i lived i would never live long enough to sleep with all of the beautiful women in the world pure tragedy 😛,44,1,False,False,False,False,False,False,False,False,False,False,True
1100232293094907904_twitter,tf lebron got mix match shoes on tryna be cute bruh focus on making the ayoffs 😩 🤦 🏽 ‍ ♂ ️,22,0,False,False,False,False,False,False,False,False,False,False,False
1253904331310542849_twitter,horny teens dm me to trade gayteen gaytrade gaysnap,9,0,False,False,False,False,False,False,False,False,False,False,False
1162739972048379905_twitter,<user> mucho gusto maeve lindo nombre soy phoenix walsh un placer bonita,12,0,False,False,False,False,False,False,False,False,False,False,False
1165301513226510339_twitter,<user> <user> you sound like you are reading from a neonazi playbook,12,0,False,False,False,False,False,False,False,False,False,False,False
1179533482944614401_twitter,<user> well like they are lesbians for a reason lmao,10,0,False,False,False,False,False,False,False,False,False,False,False
24050890_gab,we will get them back the gindu mussie group or the anti american lefty antif group will find a place and time to return them,25,0,False,False,False,False,False,False,False,False,False,False,False
1144594565720092672_twitter,okay but realistically speaking i am way better at dealing with heat than the cold arabs be like,18,0,False,False,False,False,False,False,False,False,False,False,False
22105813_gab,i like women cause they are soft and pretty and they smell nice even though they are robots,18,0,False,False,False,False,False,False,False,False,False,False,False
1179041200294244352_twitter,<user> hate you,3,0,False,False,False,False,False,False,False,False,False,False,False
1178360730380320768_twitter,<user> <user> yeah make the women take the stairs c,10,0,False,False,False,False,False,False,False,False,False,False,False
21130036_gab,the absolute state of right wing women lol awaits the outrage,11,0,False,False,False,False,False,False,False,False,False,False,False
1116887530375274497_twitter,<user> everyone hate your knees,5,0,False,False,False,False,False,False,False,False,False,False,False
1167245413750956032_twitter,<user> <user> so racism with a sprinkle of sexual harassment,10,0,False,False,False,False,False,False,False,False,False,False,False
1258834932811665408_twitter,<user> i swear lee min ho will successfully turn me gayy 😪 😪 💔 💔,15,0,False,False,False,False,False,False,False,False,False,False,False
1081605053155291136_twitter,rt if your parents are not homophobes,7,0,False,False,False,False,False,False,False,False,False,False,False
1182315881948422145_twitter,young women of this generation be more worried about how much money he has rather than if he has the holy spirit or not,24,1,False,False,False,False,False,False,False,False,True,False,False
1179066514974093312_twitter,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> anyone wanna bet how long until he starts denying the holocaust,35,0,False,False,False,False,False,False,False,False,False,False,False
